Country,Region,Variable,Value
"Micronesia, Fed. St. ",OCEANIA                            ,Area,702
Moldova ,C.W. OF IND. STATES ,Population,4466706
Moldova ,C.W. OF IND. STATES ,Coastline,0
Moldova ,C.W. OF IND. STATES ,PopDensity,132
Moldova ,C.W. OF IND. STATES ,Area,33843
Monaco ,WESTERN EUROPE                     ,Population,32543
Monaco ,WESTERN EUROPE                     ,PopDensity,16271.5
Monaco ,WESTERN EUROPE                     ,Area,2
Monaco ,WESTERN EUROPE                     ,Coastline,205
Mongolia ,ASIA (EX. NEAR EAST)         ,Area,1564116
Mongolia ,ASIA (EX. NEAR EAST)         ,PopDensity,1.8
Mongolia ,ASIA (EX. NEAR EAST)         ,Coastline,0
Mongolia ,ASIA (EX. NEAR EAST)         ,Population,2832224
Montserrat ,LATIN AMER. & CARIB    ,Coastline,39.22
Montserrat ,LATIN AMER. & CARIB    ,PopDensity,92.5
Montserrat ,LATIN AMER. & CARIB    ,Area,102
Montserrat ,LATIN AMER. & CARIB    ,Population,9439
Morocco ,NORTHERN AFRICA                    ,Coastline,0.41
Morocco ,NORTHERN AFRICA                    ,Area,446550
Morocco ,NORTHERN AFRICA                    ,Population,33241259
Morocco ,NORTHERN AFRICA                    ,PopDensity,74.4
Mozambique ,SUB-SAHARAN AFRICA                 ,Population,19686505
Mozambique ,SUB-SAHARAN AFRICA                 ,Area,801590
Mozambique ,SUB-SAHARAN AFRICA                 ,PopDensity,24.6
Mozambique ,SUB-SAHARAN AFRICA                 ,Coastline,0.31
N. Mariana Islands ,OCEANIA                            ,PopDensity,172.9
N. Mariana Islands ,OCEANIA                            ,Area,477
N. Mariana Islands ,OCEANIA                            ,Population,82459
N. Mariana Islands ,OCEANIA                            ,Coastline,310.69
Namibia ,SUB-SAHARAN AFRICA                 ,Population,2044147
Namibia ,SUB-SAHARAN AFRICA                 ,Coastline,0.19
Namibia ,SUB-SAHARAN AFRICA                 ,PopDensity,2.5
Namibia ,SUB-SAHARAN AFRICA                 ,Area,825418
Nauru ,OCEANIA                            ,PopDensity,632.7
Nauru ,OCEANIA                            ,Area,21
Nauru ,OCEANIA                            ,Population,13287
Nauru ,OCEANIA                            ,Coastline,142.86
Nepal ,ASIA (EX. NEAR EAST)         ,Coastline,0
Nepal ,ASIA (EX. NEAR EAST)         ,PopDensity,192.2
Nepal ,ASIA (EX. NEAR EAST)         ,Area,147181
Nepal ,ASIA (EX. NEAR EAST)         ,Population,28287147
Netherlands ,WESTERN EUROPE                     ,Population,16491461
Netherlands ,WESTERN EUROPE                     ,Coastline,1.09
Netherlands ,WESTERN EUROPE                     ,Area,41526
Netherlands ,WESTERN EUROPE                     ,PopDensity,397.1
Netherlands Antilles ,LATIN AMER. & CARIB    ,PopDensity,231
Netherlands Antilles ,LATIN AMER. & CARIB    ,Population,221736
Netherlands Antilles ,LATIN AMER. & CARIB    ,Area,960
Netherlands Antilles ,LATIN AMER. & CARIB    ,Coastline,37.92
New Caledonia ,OCEANIA                            ,Coastline,11.83
New Caledonia ,OCEANIA                            ,Area,19060
New Caledonia ,OCEANIA                            ,Population,219246
New Caledonia ,OCEANIA                            ,PopDensity,11.5
New Zealand ,OCEANIA                            ,PopDensity,15.2
New Zealand ,OCEANIA                            ,Area,268680
New Zealand ,OCEANIA                            ,Population,4076140
New Zealand ,OCEANIA                            ,Coastline,5.63
Nicaragua ,LATIN AMER. & CARIB    ,Population,5570129
Nicaragua ,LATIN AMER. & CARIB    ,PopDensity,43
Nicaragua ,LATIN AMER. & CARIB    ,Area,129494
Nicaragua ,LATIN AMER. & CARIB    ,Coastline,0.7
Niger ,SUB-SAHARAN AFRICA                 ,Population,12525094
Niger ,SUB-SAHARAN AFRICA                 ,Area,1267000
Niger ,SUB-SAHARAN AFRICA                 ,PopDensity,9.9
Niger ,SUB-SAHARAN AFRICA                 ,Coastline,0
Nigeria ,SUB-SAHARAN AFRICA                 ,PopDensity,142.7
Nigeria ,SUB-SAHARAN AFRICA                 ,Coastline,0.09
Nigeria ,SUB-SAHARAN AFRICA                 ,Area,923768
Nigeria ,SUB-SAHARAN AFRICA                 ,Population,131859731
Norway ,WESTERN EUROPE                     ,Population,4610820
Norway ,WESTERN EUROPE                     ,Area,323802
Norway ,WESTERN EUROPE                     ,Coastline,7.77
Norway ,WESTERN EUROPE                     ,PopDensity,14.2
Oman ,NEAR EAST                          ,PopDensity,14.6
Oman ,NEAR EAST                          ,Coastline,0.98
Oman ,NEAR EAST                          ,Population,3102229
Oman ,NEAR EAST                          ,Area,212460
Pakistan ,ASIA (EX. NEAR EAST)         ,PopDensity,206.2
Pakistan ,ASIA (EX. NEAR EAST)         ,Area,803940
Pakistan ,ASIA (EX. NEAR EAST)         ,Population,165803560
Pakistan ,ASIA (EX. NEAR EAST)         ,Coastline,0.13
Palau ,OCEANIA                            ,PopDensity,44.9
Palau ,OCEANIA                            ,Coastline,331.66
Palau ,OCEANIA                            ,Population,20579
Palau ,OCEANIA                            ,Area,458
Panama ,LATIN AMER. & CARIB    ,Population,3191319
Panama ,LATIN AMER. & CARIB    ,Area,78200
Panama ,LATIN AMER. & CARIB    ,Coastline,3.18
Panama ,LATIN AMER. & CARIB    ,PopDensity,40.8
Papua New Guinea ,OCEANIA                            ,PopDensity,12.3
Papua New Guinea ,OCEANIA                            ,Coastline,1.11
Papua New Guinea ,OCEANIA                            ,Population,5670544
Papua New Guinea ,OCEANIA                            ,Area,462840
Paraguay ,LATIN AMER. & CARIB    ,Population,6506464
Paraguay ,LATIN AMER. & CARIB    ,PopDensity,16
Paraguay ,LATIN AMER. & CARIB    ,Area,406750
Paraguay ,LATIN AMER. & CARIB    ,Coastline,0
Peru ,LATIN AMER. & CARIB    ,Coastline,0.19
Peru ,LATIN AMER. & CARIB    ,PopDensity,22
Peru ,LATIN AMER. & CARIB    ,Population,28302603
Peru ,LATIN AMER. & CARIB    ,Area,1285220
Philippines ,ASIA (EX. NEAR EAST)         ,Population,89468677
Philippines ,ASIA (EX. NEAR EAST)         ,PopDensity,298.2
Philippines ,ASIA (EX. NEAR EAST)         ,Coastline,12.1
Philippines ,ASIA (EX. NEAR EAST)         ,Area,300000
Poland ,EASTERN EUROPE                     ,Coastline,0.16
Poland ,EASTERN EUROPE                     ,Population,38536869
Poland ,EASTERN EUROPE                     ,Area,312685
Poland ,EASTERN EUROPE                     ,PopDensity,123.3
Portugal ,WESTERN EUROPE                     ,Population,10605870
Portugal ,WESTERN EUROPE                     ,PopDensity,114.8
Portugal ,WESTERN EUROPE                     ,Coastline,1.94
Portugal ,WESTERN EUROPE                     ,Area,92391
Puerto Rico ,LATIN AMER. & CARIB    ,Area,13790
Puerto Rico ,LATIN AMER. & CARIB    ,Coastline,3.63
Puerto Rico ,LATIN AMER. & CARIB    ,Population,3927188
Puerto Rico ,LATIN AMER. & CARIB    ,PopDensity,284.8
Qatar ,NEAR EAST                          ,Population,885359
Qatar ,NEAR EAST                          ,Coastline,4.92
Qatar ,NEAR EAST                          ,PopDensity,77.4
Qatar ,NEAR EAST                          ,Area,11437
Reunion ,SUB-SAHARAN AFRICA                 ,PopDensity,312.9
Reunion ,SUB-SAHARAN AFRICA                 ,Area,2517
Reunion ,SUB-SAHARAN AFRICA                 ,Coastline,8.22
Reunion ,SUB-SAHARAN AFRICA                 ,Population,787584
Romania ,EASTERN EUROPE                     ,PopDensity,93.9
Romania ,EASTERN EUROPE                     ,Area,237500
Romania ,EASTERN EUROPE                     ,Coastline,0.09
Romania ,EASTERN EUROPE                     ,Population,22303552
Russia ,C.W. OF IND. STATES ,Area,17075200
Russia ,C.W. OF IND. STATES ,Coastline,0.22
Russia ,C.W. OF IND. STATES ,Population,142893540
Russia ,C.W. OF IND. STATES ,PopDensity,8.4
Rwanda ,SUB-SAHARAN AFRICA                 ,Area,26338
Rwanda ,SUB-SAHARAN AFRICA                 ,Population,8648248
Rwanda ,SUB-SAHARAN AFRICA                 ,Coastline,0
Rwanda ,SUB-SAHARAN AFRICA                 ,PopDensity,328.4
Saint Helena ,SUB-SAHARAN AFRICA                 ,Population,7502
Saint Helena ,SUB-SAHARAN AFRICA                 ,Coastline,14.53
Saint Helena ,SUB-SAHARAN AFRICA                 ,Area,413
Saint Helena ,SUB-SAHARAN AFRICA                 ,PopDensity,18.2
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,Area,261
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,Coastline,51.72
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,Population,39129
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,PopDensity,149.9
Saint Lucia ,LATIN AMER. & CARIB    ,Population,168458
Saint Lucia ,LATIN AMER. & CARIB    ,Area,616
Saint Lucia ,LATIN AMER. & CARIB    ,Coastline,25.65
Saint Lucia ,LATIN AMER. & CARIB    ,PopDensity,273.5
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,Coastline,21.59
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,PopDensity,303
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,Population,117848
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,Area,389
Samoa ,OCEANIA                            ,Area,2944
Samoa ,OCEANIA                            ,Coastline,13.69
Samoa ,OCEANIA                            ,PopDensity,60.1
Samoa ,OCEANIA                            ,Population,176908
San Marino ,WESTERN EUROPE                     ,PopDensity,479.5
San Marino ,WESTERN EUROPE                     ,Population,29251
San Marino ,WESTERN EUROPE                     ,Area,61
San Marino ,WESTERN EUROPE                     ,Coastline,0
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,PopDensity,193.2
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,Population,193413
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,Area,1001
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,Coastline,20.88
Saudi Arabia ,NEAR EAST                          ,Area,1960582
Saudi Arabia ,NEAR EAST                          ,Coastline,0.13
Saudi Arabia ,NEAR EAST                          ,Population,27019731
Saudi Arabia ,NEAR EAST                          ,PopDensity,13.8
Senegal ,SUB-SAHARAN AFRICA                 ,Area,196190
Senegal ,SUB-SAHARAN AFRICA                 ,Coastline,0.27
Senegal ,SUB-SAHARAN AFRICA                 ,PopDensity,61.1
Senegal ,SUB-SAHARAN AFRICA                 ,Population,11987121
Serbia ,EASTERN EUROPE                     ,Population,9396411
Serbia ,EASTERN EUROPE                     ,Area,88361
Serbia ,EASTERN EUROPE                     ,PopDensity,106.3
Serbia ,EASTERN EUROPE                     ,Coastline,0
Seychelles ,SUB-SAHARAN AFRICA                 ,Population,81541
Seychelles ,SUB-SAHARAN AFRICA                 ,Area,455
Seychelles ,SUB-SAHARAN AFRICA                 ,Coastline,107.91
Seychelles ,SUB-SAHARAN AFRICA                 ,PopDensity,179.2
Sierra Leone ,SUB-SAHARAN AFRICA                 ,Area,71740
Sierra Leone ,SUB-SAHARAN AFRICA                 ,Coastline,0.56
Sierra Leone ,SUB-SAHARAN AFRICA                 ,PopDensity,83.7
Sierra Leone ,SUB-SAHARAN AFRICA                 ,Population,6005250
Singapore ,ASIA (EX. NEAR EAST)         ,Coastline,27.85
Singapore ,ASIA (EX. NEAR EAST)         ,PopDensity,6482.2
Singapore ,ASIA (EX. NEAR EAST)         ,Population,4492150
Singapore ,ASIA (EX. NEAR EAST)         ,Area,693
Slovakia ,EASTERN EUROPE                     ,Population,5439448
Slovakia ,EASTERN EUROPE                     ,Coastline,0
Slovakia ,EASTERN EUROPE                     ,Area,48845
Slovakia ,EASTERN EUROPE                     ,PopDensity,111.4
Slovenia ,EASTERN EUROPE                     ,Coastline,0.23
Slovenia ,EASTERN EUROPE                     ,Area,20273
Slovenia ,EASTERN EUROPE                     ,Population,2010347
Slovenia ,EASTERN EUROPE                     ,PopDensity,99.2
Solomon Islands ,OCEANIA                            ,Coastline,18.67
Solomon Islands ,OCEANIA                            ,Population,552438
Solomon Islands ,OCEANIA                            ,Area,28450
Solomon Islands ,OCEANIA                            ,PopDensity,19.4
Somalia ,SUB-SAHARAN AFRICA                 ,Coastline,0.47
Somalia ,SUB-SAHARAN AFRICA                 ,Population,8863338
Somalia ,SUB-SAHARAN AFRICA                 ,Area,637657
Somalia ,SUB-SAHARAN AFRICA                 ,PopDensity,13.9
South Africa ,SUB-SAHARAN AFRICA                 ,PopDensity,36.2
South Africa ,SUB-SAHARAN AFRICA                 ,Coastline,0.23
South Africa ,SUB-SAHARAN AFRICA                 ,Population,44187637
South Africa ,SUB-SAHARAN AFRICA                 ,Area,1219912
Spain ,WESTERN EUROPE                     ,PopDensity,80
Spain ,WESTERN EUROPE                     ,Area,504782
Spain ,WESTERN EUROPE                     ,Population,40397842
Spain ,WESTERN EUROPE                     ,Coastline,0.98
Sri Lanka ,ASIA (EX. NEAR EAST)         ,PopDensity,308.2
Sri Lanka ,ASIA (EX. NEAR EAST)         ,Population,20222240
Sri Lanka ,ASIA (EX. NEAR EAST)         ,Area,65610
Sri Lanka ,ASIA (EX. NEAR EAST)         ,Coastline,2.04
St Pierre & Miquelon ,NORTHERN AMERICA                   ,Area,242
St Pierre & Miquelon ,NORTHERN AMERICA                   ,PopDensity,29
St Pierre & Miquelon ,NORTHERN AMERICA                   ,Population,7026
St Pierre & Miquelon ,NORTHERN AMERICA                   ,Coastline,49.59
Sudan ,SUB-SAHARAN AFRICA                 ,Area,2505810
Sudan ,SUB-SAHARAN AFRICA                 ,PopDensity,16.5
Sudan ,SUB-SAHARAN AFRICA                 ,Population,41236378
Sudan ,SUB-SAHARAN AFRICA                 ,Coastline,0.03
Suriname ,LATIN AMER. & CARIB    ,PopDensity,2.7
Suriname ,LATIN AMER. & CARIB    ,Population,439117
Suriname ,LATIN AMER. & CARIB    ,Coastline,0.24
Suriname ,LATIN AMER. & CARIB    ,Area,163270
Swaziland ,SUB-SAHARAN AFRICA                 ,Coastline,0
Swaziland ,SUB-SAHARAN AFRICA                 ,Population,1136334
Swaziland ,SUB-SAHARAN AFRICA                 ,Area,17363
Swaziland ,SUB-SAHARAN AFRICA                 ,PopDensity,65.5
Sweden ,WESTERN EUROPE                     ,Area,449964
Sweden ,WESTERN EUROPE                     ,Population,9016596
Sweden ,WESTERN EUROPE                     ,PopDensity,20
Sweden ,WESTERN EUROPE                     ,Coastline,0.72
Switzerland ,WESTERN EUROPE                     ,PopDensity,182.2
Switzerland ,WESTERN EUROPE                     ,Coastline,0
Switzerland ,WESTERN EUROPE                     ,Area,41290
Switzerland ,WESTERN EUROPE                     ,Population,7523934
Syria ,NEAR EAST                          ,PopDensity,102
Syria ,NEAR EAST                          ,Area,185180
Syria ,NEAR EAST                          ,Coastline,0.1
Syria ,NEAR EAST                          ,Population,18881361
Taiwan ,ASIA (EX. NEAR EAST)         ,Population,23036087
Taiwan ,ASIA (EX. NEAR EAST)         ,Area,35980
Taiwan ,ASIA (EX. NEAR EAST)         ,Coastline,4.35
Taiwan ,ASIA (EX. NEAR EAST)         ,PopDensity,640.3
Tajikistan ,C.W. OF IND. STATES ,PopDensity,51.2
Tajikistan ,C.W. OF IND. STATES ,Population,7320815
Tajikistan ,C.W. OF IND. STATES ,Area,143100
Tajikistan ,C.W. OF IND. STATES ,Coastline,0
Tanzania ,SUB-SAHARAN AFRICA                 ,Area,945087
Tanzania ,SUB-SAHARAN AFRICA                 ,Population,37445392
Tanzania ,SUB-SAHARAN AFRICA                 ,PopDensity,39.6
Tanzania ,SUB-SAHARAN AFRICA                 ,Coastline,0.15
Thailand ,ASIA (EX. NEAR EAST)         ,Coastline,0.63
Thailand ,ASIA (EX. NEAR EAST)         ,PopDensity,125.7
Thailand ,ASIA (EX. NEAR EAST)         ,Area,514000
Thailand ,ASIA (EX. NEAR EAST)         ,Population,64631595
Togo ,SUB-SAHARAN AFRICA                 ,Coastline,0.1
Togo ,SUB-SAHARAN AFRICA                 ,PopDensity,97.7
Togo ,SUB-SAHARAN AFRICA                 ,Population,5548702
Togo ,SUB-SAHARAN AFRICA                 ,Area,56785
Tonga ,OCEANIA                            ,PopDensity,153.3
Tonga ,OCEANIA                            ,Coastline,56.02
Tonga ,OCEANIA                            ,Area,748
Tonga ,OCEANIA                            ,Population,114689
Trinidad & Tobago ,LATIN AMER. & CARIB    ,PopDensity,207.9
Trinidad & Tobago ,LATIN AMER. & CARIB    ,Population,1065842
Trinidad & Tobago ,LATIN AMER. & CARIB    ,Coastline,7.06
Trinidad & Tobago ,LATIN AMER. & CARIB    ,Area,5128
Tunisia ,NORTHERN AFRICA                    ,Population,10175014
Tunisia ,NORTHERN AFRICA                    ,Coastline,0.7
Tunisia ,NORTHERN AFRICA                    ,PopDensity,62.2
Tunisia ,NORTHERN AFRICA                    ,Area,163610
Turkey ,NEAR EAST                          ,Coastline,0.92
Turkey ,NEAR EAST                          ,Area,780580
Turkey ,NEAR EAST                          ,Population,70413958
Turkey ,NEAR EAST                          ,PopDensity,90.2
Turkmenistan ,C.W. OF IND. STATES ,Coastline,0
Turkmenistan ,C.W. OF IND. STATES ,Area,488100
Turkmenistan ,C.W. OF IND. STATES ,Population,5042920
Turkmenistan ,C.W. OF IND. STATES ,PopDensity,10.3
Turks & Caicos Is ,LATIN AMER. & CARIB    ,Coastline,90.47
Turks & Caicos Is ,LATIN AMER. & CARIB    ,Population,21152
Turks & Caicos Is ,LATIN AMER. & CARIB    ,Area,430
Turks & Caicos Is ,LATIN AMER. & CARIB    ,PopDensity,49.2
Tuvalu ,OCEANIA                            ,Area,26
Tuvalu ,OCEANIA                            ,PopDensity,454.2
Tuvalu ,OCEANIA                            ,Population,11810
Tuvalu ,OCEANIA                            ,Coastline,92.31
Uganda ,SUB-SAHARAN AFRICA                 ,PopDensity,119.5
Uganda ,SUB-SAHARAN AFRICA                 ,Area,236040
Uganda ,SUB-SAHARAN AFRICA                 ,Population,28195754
Uganda ,SUB-SAHARAN AFRICA                 ,Coastline,0
Ukraine ,C.W. OF IND. STATES ,Coastline,0.46
Ukraine ,C.W. OF IND. STATES ,Area,603700
Ukraine ,C.W. OF IND. STATES ,PopDensity,77.4
Ukraine ,C.W. OF IND. STATES ,Population,46710816
United Arab Emirates ,NEAR EAST                          ,Coastline,1.59
United Arab Emirates ,NEAR EAST                          ,PopDensity,31.4
United Arab Emirates ,NEAR EAST                          ,Area,82880
United Arab Emirates ,NEAR EAST                          ,Population,2602713
United Kingdom ,WESTERN EUROPE                     ,Coastline,5.08
United Kingdom ,WESTERN EUROPE                     ,Area,244820
United Kingdom ,WESTERN EUROPE                     ,PopDensity,247.6
United Kingdom ,WESTERN EUROPE                     ,Population,60609153
United States ,NORTHERN AMERICA                   ,Population,298444215
United States ,NORTHERN AMERICA                   ,Area,9631420
United States ,NORTHERN AMERICA                   ,PopDensity,31
United States ,NORTHERN AMERICA                   ,Coastline,0.21
Uruguay ,LATIN AMER. & CARIB    ,Population,3431932
Uruguay ,LATIN AMER. & CARIB    ,Area,176220
Uruguay ,LATIN AMER. & CARIB    ,PopDensity,19.5
Uruguay ,LATIN AMER. & CARIB    ,Coastline,0.37
Uzbekistan ,C.W. OF IND. STATES ,PopDensity,61
Uzbekistan ,C.W. OF IND. STATES ,Coastline,0
Uzbekistan ,C.W. OF IND. STATES ,Population,27307134
Uzbekistan ,C.W. OF IND. STATES ,Area,447400
Vanuatu ,OCEANIA                            ,PopDensity,17.1
Vanuatu ,OCEANIA                            ,Population,208869
Vanuatu ,OCEANIA                            ,Area,12200
Vanuatu ,OCEANIA                            ,Coastline,20.72
Venezuela ,LATIN AMER. & CARIB    ,Area,912050
Venezuela ,LATIN AMER. & CARIB    ,Population,25730435
Venezuela ,LATIN AMER. & CARIB    ,Coastline,0.31
Venezuela ,LATIN AMER. & CARIB    ,PopDensity,28.2
Vietnam ,ASIA (EX. NEAR EAST)         ,Area,329560
Vietnam ,ASIA (EX. NEAR EAST)         ,PopDensity,256.1
Vietnam ,ASIA (EX. NEAR EAST)         ,Population,84402966
Vietnam ,ASIA (EX. NEAR EAST)         ,Coastline,1.05
Virgin Islands ,LATIN AMER. & CARIB    ,PopDensity,56.9
Virgin Islands ,LATIN AMER. & CARIB    ,Population,108605
Virgin Islands ,LATIN AMER. & CARIB    ,Coastline,9.84
Virgin Islands ,LATIN AMER. & CARIB    ,Area,1910
Wallis and Futuna ,OCEANIA                            ,Area,274
Wallis and Futuna ,OCEANIA                            ,Coastline,47.08
Wallis and Futuna ,OCEANIA                            ,PopDensity,58.5
Wallis and Futuna ,OCEANIA                            ,Population,16025
West Bank ,NEAR EAST                          ,Coastline,0
West Bank ,NEAR EAST                          ,PopDensity,419.9
West Bank ,NEAR EAST                          ,Area,5860
West Bank ,NEAR EAST                          ,Population,2460492
Western Sahara ,NORTHERN AFRICA                    ,Coastline,0.42
Western Sahara ,NORTHERN AFRICA                    ,Population,273008
Western Sahara ,NORTHERN AFRICA                    ,PopDensity,1
Western Sahara ,NORTHERN AFRICA                    ,Area,266000
Yemen ,NEAR EAST                          ,PopDensity,40.6
Yemen ,NEAR EAST                          ,Coastline,0.36
Yemen ,NEAR EAST                          ,Population,21456188
Yemen ,NEAR EAST                          ,Area,527970
Zambia ,SUB-SAHARAN AFRICA                 ,PopDensity,15.3
Zambia ,SUB-SAHARAN AFRICA                 ,Coastline,0
Zambia ,SUB-SAHARAN AFRICA                 ,Area,752614
Zambia ,SUB-SAHARAN AFRICA                 ,Population,11502010
Zimbabwe ,SUB-SAHARAN AFRICA                 ,PopDensity,31.3
Zimbabwe ,SUB-SAHARAN AFRICA                 ,Area,390580
Zimbabwe ,SUB-SAHARAN AFRICA                 ,Population,12236805
Zimbabwe ,SUB-SAHARAN AFRICA                 ,Coastline,0
