date,Arizona,Utah
2017-07-31,87.0,77.0
2017-08-01,56.0,71.0
2017-08-02,46.0,90.0
2017-08-03,90.0,74.0
2017-08-04,105.0,58.0
2017-08-05,42.0,71.0
2017-08-06,46.0,50.0
2017-08-07,61.0,48.0
2017-08-08,100.0,51.0
2017-08-09,100.0,58.0
2017-08-10,64.0,67.0
2017-08-11,80.0,74.0
2017-08-12,64.0,49.0
2017-08-13,51.0,50.0
2017-08-14,46.0,47.0
2017-08-15,45.0,61.0
2017-08-16,43.0,77.0
2017-08-17,51.0,80.0
2017-08-18,90.0,93.0
2017-08-19,50.0,64.0
2017-08-20,43.0,50.0
2017-08-21,58.0,51.0
2017-08-22,87.0,49.0
2017-08-23,79.0,64.0
2017-08-24,97.0,58.0
2017-08-25,115.0,48.0
2017-08-26,93.0,50.0
2017-08-27,93.0,77.0
2017-08-28,80.0,105.0
2017-08-29,108.0,97.0
2017-08-30,80.0,84.0
2017-08-31,50.0,44.0
2017-09-01,108.0,105.0
2017-09-02,51.0,126.0
2017-09-03,49.0,90.0
2017-09-04,47.0,108.0
2017-09-05,74.0,108.0
2017-09-06,71.0,97.0
2017-09-07,148.0,58.0
2017-09-08,105.0,63.0
2017-09-09,90.0,55.5
2017-09-10,71.0,48.0
2017-09-11,71.0,71.0
2017-09-12,105.0,64.0
2017-09-13,49.0,52.5
2017-09-14,51.0,32.0
2017-09-15,49.0,40.0
2017-09-16,44.0,52.66666666666666
2017-09-17,44.0,50.0
2017-09-18,49.0,48.0
2017-09-19,43.0,39.5
2017-09-20,44.0,44.0
2017-09-21,38.0,35.0
2017-09-22,40.0,37.0
2017-09-23,58.0,31.0
2017-09-24,58.0,28.0
2017-09-25,54.0,33.0
2017-09-26,58.0,37.0
2017-09-27,58.0,41.0
2017-09-28,74.0,37.0
2017-09-29,80.0,45.0
2017-09-30,58.0,43.0
2017-10-01,58.0,36.0
2017-10-02,54.0,39.0
2017-10-03,58.0,48.0
2017-10-04,42.0,74.0
2017-10-05,47.0,54.0
2017-10-06,58.0,39.0
2017-10-07,90.0,42.0
2017-10-08,77.0,42.0
2017-10-09,54.0,35.0
2017-10-10,49.0,38.0
2017-10-11,47.0,46.0
2017-10-12,54.0,52.0
2017-10-13,46.0,50.0
2017-10-14,50.0,40.0
2017-10-15,64.0,42.0
2017-10-16,54.0,43.0
2017-10-17,54.0,42.0
2017-10-18,61.0,44.0
2017-10-19,51.0,32.0
2017-10-20,59.0,49.0
2017-10-21,97.0,40.0
2017-10-22,65.0,35.0
2017-10-23,50.0,40.0
2017-10-24,53.0,39.0
2017-10-25,53.0,45.0
2017-10-26,54.0,37.0
2017-10-27,48.0,38.0
2017-10-28,49.0,41.0
2017-10-29,49.0,35.0
2017-10-30,45.0,31.0
2017-10-31,52.0,33.0
2017-11-01,45.0,39.0
2017-11-02,45.0,40.0
2017-11-03,41.0,41.0
2017-11-04,44.0,35.0
2017-11-05,35.0,34.0
2017-11-06,35.0,32.0
2017-11-07,44.0,33.0
2017-11-08,37.0,32.0
2017-11-09,44.0,37.0
2017-11-10,45.0,40.0
2017-11-11,48.0,38.0
2017-11-12,45.0,31.0
2017-11-13,52.0,33.0
2017-11-14,69.0,35.0
2017-11-15,62.0,35.0
2017-11-16,62.0,31.0
2017-11-17,54.0,36.0
2017-11-18,65.0,33.0
2017-11-19,43.0,33.0
2017-11-20,62.0,41.0
2017-11-21,70.0,48.5
2017-11-22,76.0,29.0
2017-11-23,44.0,22.0
2017-11-24,54.0,30.0
2017-11-25,54.0,27.0
2017-11-26,53.0,26.5
2017-11-27,60.0,39.0
2017-11-28,80.0,35.0
2017-11-29,71.0,36.0
2017-11-30,75.0,45.0
2017-12-01,74.0,74.0
2017-12-02,84.0,48.0
2017-12-03,56.0,40.0
2017-12-04,45.0,31.0
2017-12-05,74.0,36.0
2017-12-06,39.0,57.0
2017-12-07,42.0,54.0
2017-12-08,40.0,58.5
2017-12-09,42.0,52.5
2017-12-10,41.0,56.0
2017-12-11,43.0,76.0
2017-12-12,47.0,84.0
2017-12-13,49.0,89.0
2017-12-14,53.0,75.0
2017-12-15,45.0,67.33333333333333
2017-12-16,58.0,60.5
2017-12-17,37.0,28.0
2017-12-18,49.0,43.0
2017-12-19,67.0,41.0
2017-12-20,65.0,40.0
2017-12-21,53.0,30.5
2017-12-22,49.0,32.0
2017-12-23,78.0,35.0
2017-12-24,87.0,30.0
2017-12-25,115.0,65.5
2017-12-26,75.0,58.0
2017-12-27,84.0,61.0
2017-12-28,66.0,60.0
2017-12-29,60.0,47.5
2017-12-30,59.0,31.0
2017-12-31,81.0,28.5
2018-01-01,134.0,54.0
2018-01-02,60.0,59.0
2018-01-03,42.0,46.0
2018-01-04,46.0,60.0
2018-01-05,54.0,63.0
2018-01-06,65.0,74.0
2018-01-07,67.0,72.0
2018-01-08,51.0,31.0
2018-01-09,137.0,28.0
2018-01-10,37.0,26.0
2018-01-11,52.0,31.0
2018-01-12,64.0,31.0
2018-01-13,52.0,28.0
2018-01-14,48.0,29.0
2018-01-15,55.0,44.0
2018-01-16,54.0,30.5
2018-01-17,49.0,37.5
2018-01-18,46.0,27.0
2018-01-19,47.0,34.0
2018-01-20,61.0,35.0
2018-01-21,49.0,33.0
2018-01-22,47.0,30.0
2018-01-23,42.0,43.0
2018-01-24,44.0,31.0
2018-01-25,48.0,34.0
2018-01-26,57.0,31.0
2018-01-27,42.0,35.0
2018-01-28,40.0,29.0
2018-01-29,42.0,31.0
2018-01-30,53.0,31.0
2018-01-31,45.0,34.0
2018-02-01,62.0,45.333333333333336
2018-02-02,61.0,39.5
2018-02-03,67.0,36.0
2018-02-04,61.0,33.0
2018-02-05,53.0,30.0
2018-02-06,51.0,36.0
2018-02-07,43.0,31.0
2018-02-08,53.0,32.0
2018-02-09,54.0,27.0
2018-02-10,47.0,38.0
2018-02-11,46.0,33.0
2018-02-12,60.0,40.0
2018-02-13,32.0,42.0
2018-02-14,33.0,37.0
2018-02-15,33.0,38.0
2018-02-16,58.0,39.0
2018-02-17,61.0,38.0
2018-02-18,52.0,37.5
2018-02-19,70.0,38.0
2018-02-20,43.0,36.0
2018-02-21,43.0,37.0
2018-02-22,44.0,41.0
2018-02-23,43.0,36.0
2018-02-24,44.0,43.0
2018-02-25,50.0,44.0
2018-02-26,52.0,45.0
2018-02-27,44.0,42.5
2018-02-28,44.0,41.0
2018-03-01,47.0,43.0
2018-03-02,50.0,41.0
2018-03-03,47.0,41.0
2018-03-04,47.0,43.5
2018-03-05,58.0,42.0
2018-03-06,45.0,39.0
2018-03-07,45.0,42.0
2018-03-08,44.0,37.0
2018-03-09,44.0,39.0
2018-03-10,38.0,44.0
2018-03-11,41.0,47.0
2018-03-12,48.0,41.0
2018-03-13,54.0,43.0
2018-03-14,44.0,34.0
2018-03-15,43.0,40.0
2018-03-16,45.0,45.0
2018-03-17,44.0,45.0
2018-03-18,46.0,42.0
2018-03-19,47.0,39.0
2018-03-20,50.0,41.0
2018-03-21,61.0,44.0
2018-03-22,42.0,34.0
2018-03-23,45.0,44.0
2018-03-24,44.0,42.0
2018-03-25,49.0,45.0
2018-03-26,48.0,43.0
2018-03-27,51.0,42.0
2018-03-28,49.0,43.0
2018-03-29,44.0,44.0
2018-03-30,50.0,42.0
2018-03-31,54.0,45.0
2018-04-01,49.0,45.0
2018-04-02,51.0,45.0
2018-04-03,74.0,50.0
2018-04-04,71.0,38.0
2018-04-05,84.0,44.0
2018-04-06,67.0,37.0
2018-04-07,46.0,44.0
