T_degC,Salnty,O2ml_L
8.63,34.047,
14.09,,5.62
10.12,33.82,3.21
23.47,34.344,4.93
27.34,35.56,4.58
10.72,34.76,0.68
17.45,33.828,5.83
13.77,34.457,1.01
16.66,33.484,5.62
9.25,34.642,0.33
19.02,33.35,5.15
9.78,33.872,3.29
10.82,33.879,2.86
10.78,33.519,4.46
6.38,34.08,
6.24,34.16,
9.84,33.78,3.36
19.34,33.4,
9.4,33.906,2.69
6.57,34.22,0.59
9.21,33.973,2.46
12.9,33.49,5.33
4.25,,0.51
10.47,34.05,
6.545,34.1637,0.7
10.2,34.397,1.11
9.62,33.703,3.36
14.0,33.15,5.33
10.98,33.148,5.52
10.04,33.758,3.2
10.85,34.692,0.17
12.92,33.26,5.67
5.93,34.24,
6.79,34.277,
9.01,34.347,1.0
6.2,34.133,0.89
16.53,33.07,5.89
15.38,33.229,6.17
17.5,33.639,5.39
15.82,33.533,5.51
7.84,34.148,
10.68,33.562,
6.89,34.393,0.34
12.52,34.82,0.29
14.03,33.3,5.94
6.636,34.2261,0.597
6.72,34.33,0.6
5.93,34.067,1.33
13.8,35.062,3.46
7.61,33.91,2.01
10.54,33.48,
4.56,,0.43
9.98,33.258,4.74
6.16,34.29,0.38
11.69,,4.98
6.86,34.066,1.65
18.485,33.6912,5.685
17.21,33.151,6.07
6.67,34.454,0.14
7.0,34.2,0.92
11.95,,5.77
16.87,33.19,6.05
4.57,34.5,
6.0,34.31,
5.85,34.221,0.48
9.19,33.994,2.5
10.68,33.398,5.31
17.31,33.56,5.62
6.94,34.206,0.95
9.905,33.2428,4.94
14.41,33.315,5.78
4.67,34.3,0.52
7.22,34.358000000000004,0.45
16.85,33.613,5.73
3.79,34.524,0.64
15.86,33.483000000000004,6.48
16.44,33.505,6.41
10.88,33.46,4.5
7.13,34.167,0.86
15.04,33.08,5.78
12.315,33.2909,5.489
16.84,32.94,5.59
14.1,33.795,3.95
8.28,34.33,0.85
10.91,,
13.822,33.5899,5.471
4.89,34.4,
13.01,33.37,
8.08,34.289,0.68
1.85,34.691,2.55
11.09,33.049,5.09
14.84,34.779,1.03
16.99,33.312,5.64
15.41,33.288000000000004,6.02
10.16,33.61,3.65
14.37,,5.87
12.97,33.367,5.68
4.82,34.209,0.44
6.53,34.192,1.04
9.29,33.77,3.52
10.65,34.07,
8.06,34.03,2.42
12.93,33.65,4.98
3.93,34.52,
10.49,33.847,2.59
9.96,34.01,
12.9,33.394,5.42
12.83,33.316,5.21
12.72,33.059,6.19
18.41,33.033,5.55
14.57,33.84,4.67
14.73,33.497,5.81
3.38,34.481,0.59
16.41,33.221,5.9
17.12,33.554,5.95
10.57,33.626,4.3
10.69,33.89,
14.03,33.55,
9.43,34.565,0.39
14.646,33.7,5.518
8.75,34.05,2.38
13.84,34.435,1.14
5.89,34.272,0.45
10.21,33.995,2.39
11.33,33.435,5.15
5.55,34.341,
14.72,33.433,5.93
9.22,33.763000000000005,3.93
7.03,34.171,1.06
9.23,33.858000000000004,2.88
11.88,34.555,
5.9,34.278,0.52
17.82,33.344,5.58
7.68,34.056999999999995,2.39
1.6,34.679,3.04
4.0,34.52,0.55
6.08,34.34,
7.05,34.205,0.93
11.73,34.066,2.68
15.27,33.167,5.77
4.97,,0.49
7.3,34.199,1.01
9.66,33.84,3.27
12.27,33.775,3.35
13.9,33.165,6.3
7.08,34.267,0.67
7.11,34.263000000000005,0.61
18.79,33.535,5.56
13.14,33.501,5.02
14.67,33.145,5.78
15.17,33.401,5.84
4.39,34.49,0.7
12.81,33.223,
7.76,34.155,1.34
19.37,34.47,5.38
18.53,33.308,5.5
6.83,34.29,
4.04,34.415,0.39
4.28,34.404,
9.9,34.55,
9.15,33.8812,2.854
18.647,33.2522,5.382999999999999
7.75,33.91,3.63
8.74,34.09,
19.02,33.515,6.0
16.21,33.596,5.53
8.88,34.398,0.55
12.32,33.533,4.82
9.08,34.098,
7.08,34.117,1.85
10.78,34.47,1.02
6.56,34.203,0.78
10.43,33.679,3.84
10.99,33.553000000000004,3.42
6.761,34.0636,1.4069999999999998
7.76,34.249,1.02
5.58,34.188,0.8
10.735,33.6457,3.452
17.95,33.123000000000005,5.72
6.09,34.276,0.5
9.58,34.52,
6.91,34.23,0.64
7.36,33.945,2.23
8.7,34.11,
6.26,34.394,0.53
3.76,34.478,0.7
13.67,33.458,4.97
14.87,33.128,5.83
3.54,34.59,
15.41,33.145,5.79
3.9,34.344,0.38
18.87,33.671,5.54
11.056,33.3568,
7.54,33.994,2.82
7.95,34.046,2.38
9.36,33.911,2.99
9.19,34.493,0.57
11.16,33.79,
14.727,33.1839,
3.26,,
10.66,33.785,3.3
11.821,33.5417,3.764
5.42,34.238,0.42
10.22,33.454,4.35
15.02,33.375,
9.7,33.84,2.97
11.26,33.466,4.71
16.31,33.247,5.82
16.87,33.6,
11.84,33.972,2.48
19.26,34.42,
3.62,34.38,0.87
6.94,34.31,
7.82,34.22,
13.786,33.4781,5.7170000000000005
10.56,33.662,3.48
12.91,33.086,6.49
9.0,33.985,2.21
7.277,34.153,1.031
20.08,33.569,6.1
6.13,34.303000000000004,0.35
10.67,33.58,
8.86,33.922,2.67
6.47,34.125,1.03
6.4,34.169000000000004,0.91
7.79,34.59,0.29
13.28,33.3,
12.46,33.3,5.35
11.42,33.506,4.25
17.44,33.931,5.54
9.95,33.924,2.84
8.54,33.92,2.35
4.1,34.338,
6.16,34.33,0.43
15.86,33.42,6.16
7.35,32.7,
6.12,34.29,0.48
5.9,34.15,0.74
9.02,34.231,1.76
16.14,33.556,5.98
14.6,33.302,6.03
3.7,34.56,
11.005,33.4301,3.927
7.86,34.0,2.2
7.28,34.23,1.06
11.24,33.63,4.0
14.95,33.58,
10.54,33.49,4.51
16.9,33.86,4.31
11.94,33.265,5.33
7.77,34.046,2.09
16.96,33.083,
8.95,33.762,3.31
9.62,34.023,2.91
16.5,33.441,6.09
8.55,33.95,2.14
9.57,33.91,2.65
4.13,34.477,0.52
7.68,34.381,0.59
10.91,33.56,
15.45,,5.14
14.25,33.659,5.41
9.72,33.366,4.43
4.66,34.51,0.41
4.82,34.137,0.89
10.99,33.537,4.35
6.472,34.1836,0.644
11.06,33.711,3.99
10.46,33.775,3.27
20.4,33.87,5.25
6.769,34.0751,1.307
7.77,34.14,
8.14,34.111999999999995,1.98
17.66,33.94,
11.0,33.537,4.03
12.29,33.47,
14.04,33.2,5.82
6.04,34.304,
9.17,33.73,
11.3,33.632,4.14
8.44,33.817,2.99
14.27,33.575,5.35
9.34,33.831,2.82
12.24,33.555,4.7
16.05,33.0648,5.763999999999999
13.14,32.585,6.27
12.64,33.6,
18.37,33.401,5.66
5.19,34.225,0.39
12.26,33.63,4.65
15.49,33.26,5.24
8.36,34.174,1.59
11.137,33.5193,3.993
12.83,33.123000000000005,5.52
7.7,34.019,2.21
12.84,33.284,5.73
17.7,33.719,5.55
6.68,34.005,1.66
10.716,33.2371,4.967
9.6,33.8437,2.986
5.77,34.531,0.07
14.65,33.45,
16.48,34.26,
6.21,34.219,0.59
14.23,33.234,6.8
15.07,33.624,5.73
9.34,,3.82
11.79,33.585,5.5
15.19,33.729,5.73
13.09,35.0,2.57
16.57,34.03,
8.216000000000001,34.2916,0.7559999999999999
5.01,34.29,0.3
14.01,33.128,6.04
16.37,33.684,5.92
15.7,,4.19
3.91,34.481,0.34
15.8,33.414,
16.93,33.491,6.05
4.73,34.35,0.31
6.3,34.288000000000004,0.35
8.88,34.34,1.11
8.17,34.196,1.58
11.59,33.111999999999995,5.89
11.44,33.49,
3.7,34.49,0.69
18.47,33.52,
12.06,,5.79
14.62,33.609,5.47
6.21,34.215,0.67
15.86,33.266,
13.83,32.919000000000004,6.27
10.4,33.899,2.94
11.29,33.648,3.49
9.57,34.211,1.86
7.19,34.378,0.54
19.72,33.492,6.46
7.9,34.197,1.34
12.81,33.499,6.42
14.71,33.14,5.56
8.71,33.961,2.96
16.28,33.477,5.76
8.65,34.149,1.91
8.55,33.754,3.6
10.38,33.59,4.73
14.66,33.004,5.94
10.37,34.233000000000004,
10.7,,2.19
9.64,33.611,3.48
7.79,34.044000000000004,2.33
11.12,33.818000000000005,3.72
12.56,33.243,5.62
14.22,33.48,5.9
6.85,34.236,0.65
9.48,34.478,0.66
8.544,33.995,2.327
16.54,33.48,5.71
11.22,33.314,4.74
10.12,33.804,
16.5,33.777,6.2
12.13,33.01,5.69
16.528,33.617,5.805
8.44,,2.12
12.92,33.44,5.24
4.38,34.43,
6.74,34.3,
6.75,34.284,0.59
14.6,33.558,5.94
13.79,33.54,5.65
7.15,34.152,1.34
9.89,33.798,3.25
11.87,33.643,3.88
8.28,33.94,2.68
10.94,33.73,
10.96,34.11,1.82
12.24,33.723,7.8
14.09,33.333,5.87
4.77,34.433,0.27
11.44,33.626,3.79
17.42,34.18,5.32
11.81,34.019,2.19
11.97,,0.97
11.79,32.949,6.39
10.96,32.98,
9.35,33.95,
15.46,33.369,5.79
17.16,33.482,
5.7,,
6.97,34.181,
12.05,33.6,
4.57,34.42,
20.96,34.611,4.78
7.82,34.19,
7.64,34.14,1.41
13.12,34.93,1.45
7.91,,2.78
14.29,33.399,5.88
13.57,33.53,5.85
14.07,33.68,
7.93,34.216,1.2
9.22,34.051,2.41
19.58,33.723,
12.83,33.49,5.02
5.64,34.192,0.56
12.73,33.124,5.65
9.59,33.971,2.37
9.0,34.61,0.13
7.26,34.09,1.52
10.0,34.743,0.19
11.67,33.51,
6.73,,0.24
15.68,33.347,5.68
12.52,33.062,5.56
5.34,34.283,0.48
9.69,33.73,4.17
9.02,34.57,0.13
8.3,34.121,
14.87,33.18,5.74
15.76,34.021,5.35
11.44,33.48,
12.79,33.078,6.52
14.64,33.82,4.11
6.221,34.1212,0.8420000000000001
4.49,34.319,0.35
13.35,33.58,4.96
8.216000000000001,34.2396,0.963
9.908,33.8422,2.659
6.3,34.174,0.75
8.57,,2.05
8.41,34.187,1.69
17.42,33.701,5.29
8.35,33.96,3.19
7.11,34.2363,0.644
8.34,34.486,0.24
11.17,33.638000000000005,3.87
14.44,33.339,5.38
12.57,33.486999999999995,5.14
6.38,34.141,0.96
16.39,33.35,5.65
15.72,33.46,5.93
9.94,32.57,
14.4,33.272,5.97
10.12,33.64,3.23
10.4,33.51,4.95
5.71,34.187,0.61
16.62,32.993,5.73
8.04,34.22,1.12
5.56,34.309,0.28
7.053999999999999,34.2627,0.518
9.74,33.736,3.57
7.11,34.305,0.69
5.72,34.185,0.63
15.7,33.248000000000005,5.76
17.06,33.85,5.63
9.68,33.01,5.28
11.18,33.243,5.72
6.68,34.129,
8.8,34.2426,1.164
9.79,33.71,2.81
6.4,34.17,0.87
14.05,33.092,6.05
6.65,34.29,
3.31,34.54,0.93
7.02,34.311,
12.05,33.62,
11.02,33.491,4.08
8.64,34.174,1.51
3.74,34.394,0.35
6.19,34.29,0.38
8.66,32.68,
7.03,,0.86
11.84,33.315,5.24
8.32,34.197,1.57
10.34,33.64,4.63
16.34,32.736,5.7
13.3,33.632,5.11
6.27,33.962,
7.41,34.26,0.8
16.99,33.533,
14.7,33.523,5.51
11.15,33.008,
6.15,34.339,0.3
18.29,34.04,4.9
7.07,34.159,0.98
8.76,34.179,1.35
11.08,33.806999999999995,4.85
6.06,34.152,1.08
12.67,32.894,6.24
13.74,32.855,6.21
20.45,34.39,4.92
7.99,34.42,1.2
5.54,34.16,1.26
7.07,34.18,
10.58,33.731,3.7
12.28,33.58,
9.13,33.57,4.05
14.06,33.812,
9.55,33.982,
6.42,34.206,0.67
13.32,33.429,4.93
7.75,34.04,2.67
8.41,33.957,
8.92,34.269,1.11
15.69,33.131,5.84
13.952,33.4605,
8.8,34.115,
5.29,34.125,0.87
5.21,,
6.67,34.244,0.91
18.62,34.164,5.14
16.88,35.093,1.94
16.91,33.395,
16.43,33.369,5.82
13.76,33.302,5.95
15.49,33.194,6.09
8.0,34.13,1.83
8.0,33.9908,2.591
9.64,33.559,4.18
13.16,33.338,5.91
7.27,33.999,2.28
3.21,,
7.93,34.144,1.5
10.29,33.53,
7.14,34.001999999999995,
12.46,33.605,5.86
15.18,33.2929,5.886
14.48,33.476,6.18
13.52,33.33,5.82
26.85,34.56,4.3
15.21,33.186,6.02
9.84,33.936,
7.61,,2.64
15.38,33.48,5.8
10.887,33.1477,5.224
7.23,34.351,0.56
10.88,33.41,4.72
15.778,33.0977,5.678999999999999
14.64,33.245,
13.168,33.3999,5.605
6.84,34.242,0.67
4.57,34.418,
8.2,33.93,2.89
6.747999999999999,34.1071,1.0590000000000002
12.67,33.25,
9.67,34.304,1.57
10.55,33.47,
12.94,33.58,5.1
5.28,34.315,0.29
13.77,33.451,6.14
4.89,34.346,0.48
9.32,34.17,1.59
17.03,33.278,6.05
12.59,33.49,4.59
9.31,34.266,1.63
6.41,34.35,
7.197,34.177,0.969
8.61,34.485,0.23
6.97,34.293,0.76
8.91,34.126,1.69
15.41,33.62,
4.59,34.328,0.41
6.3,34.283,0.53
8.43,34.14,1.48
10.007,33.417,3.9
7.01,34.108000000000004,1.18
6.86,34.076,1.62
18.56,33.775,5.81
6.37,34.128,0.97
10.04,,4.77
15.96,33.209,5.81
13.9,33.78,4.29
13.85,33.278,5.93
13.09,33.48,
9.51,33.95,2.71
6.97,34.136,1.28
9.64,33.782,3.3
8.18,34.172,
10.66,33.937,1.94
12.39,33.22,
15.45,33.434,6.35
8.92,33.874,3.18
15.469,33.2584,5.81
14.49,33.57,5.05
10.07,33.15,
11.61,33.649,5.01
9.752,33.8778,2.68
8.81,33.753,3.37
15.26,33.599000000000004,5.92
7.88,34.02,3.03
9.68,33.842,4.69
8.59,33.998000000000005,2.87
8.83,33.736999999999995,3.27
8.15,34.241,1.02
6.8,34.32,0.35
21.96,34.18,5.17
18.03,34.27,3.57
10.72,33.669000000000004,3.69
17.59,33.4,5.25
16.63,33.523,5.23
16.49,33.298,5.81
10.52,33.345,4.67
6.9,34.324,0.34
5.66,34.189,0.65
13.96,33.96,3.12
6.27,,0.34
8.32,34.29,0.85
5.35,34.14,
12.96,33.48,5.87
16.33,33.115,5.78
9.59,33.956,2.89
13.86,33.532,4.9
9.06,33.88,2.63
16.28,33.71,
9.9,33.756,3.77
7.09,34.082,1.79
18.24,34.07,5.45
6.62,34.122,1.04
13.29,33.462,5.73
15.9,33.324,5.99
4.1,34.559,0.53
5.87,34.175,0.76
9.86,33.39,4.15
10.8,32.7,6.35
6.28,34.187,0.77
15.15,,4.99
16.08,33.068000000000005,5.81
11.44,34.637,0.34
5.6,34.23,
6.55,34.251,0.08
4.16,34.421,0.58
4.15,34.291,0.53
7.8,33.964,3.18
8.44,33.979,3.1
14.16,33.564,5.62
15.45,33.73,5.65
8.48,34.15,1.6
10.43,34.039,2.47
13.22,33.646,5.2
10.06,,3.4
17.17,33.29,5.58
19.04,33.523,5.56
7.02,34.301,0.58
13.28,33.57,4.92
10.61,33.673,3.63
11.11,33.611999999999995,4.35
13.17,33.26,6.12
11.7,33.842,2.57
10.28,34.25,1.52
10.27,33.776,3.25
8.54,,
6.72,34.173,0.95
15.952,33.5347,5.757999999999999
9.85,33.68,3.38
23.62,34.33,
8.45,34.216,1.49
6.32,34.02,2.5
15.16,33.46,5.65
4.2,34.351,0.25
18.25,32.787,5.52
8.25,33.964,3.22
16.7,34.95,2.17
10.58,34.02,2.47
11.68,34.29,
6.04,34.183,0.69
8.4,34.055,2.09
8.142999999999999,34.0318,2.227
12.52,34.232,
10.87,33.466,4.23
13.39,33.219,5.68
9.55,33.426,4.302
15.39,33.533,5.03
8.51,34.077,2.09
7.41,34.123000000000005,1.36
9.67,34.624,0.17
5.74,34.366,0.35
15.49,33.65,
15.53,33.785,5.87
13.95,33.51,4.87
17.84,33.69,
6.1,34.275,0.55
6.541,34.1662,0.731
18.43,33.623000000000005,
12.8,33.54,
11.37,33.183,
12.93,33.02,
8.36,32.49,
6.88,34.22,
8.92,33.83,2.75
10.84,33.611999999999995,4.11
5.39,34.311,0.26
7.69,34.26,
5.99,34.134,0.86
8.87,34.04,2.18
9.74,33.837,1.06
17.18,35.21,3.95
11.4,33.424,4.73
12.55,33.652,
14.8,33.78,
10.3,33.882,2.77
7.678999999999999,34.1645,1.249
7.42,,
10.81,33.37,4.19
15.19,33.256,5.7
12.957,33.6601,4.926
9.64,34.49,
8.96,34.023,2.71
14.52,33.23,5.94
16.61,,5.48
7.81,34.068000000000005,1.86
15.83,33.071,5.82
8.17,33.919000000000004,2.96
6.41,34.202,0.76
8.193999999999999,34.1302,1.679
7.94,34.058,2.27
14.91,33.507,4.96
5.5,34.14,0.8
9.56,34.06,2.29
6.12,34.22,0.95
15.23,33.446,5.68
6.1,34.35,
11.77,33.199,
14.51,33.8,
12.936,33.069,5.5520000000000005
16.04,33.148,5.91
6.16,34.266,0.38
14.93,33.553000000000004,5.81
7.329,34.0464,1.722
13.89,33.507,5.39
6.74,34.223,0.37
11.3,33.395,5.21
5.18,34.211,0.61
7.96,34.16,1.09
18.4,33.632,5.46
9.89,33.558,3.92
11.96,33.529,4.77
5.06,34.46,
14.53,33.26,5.84
7.07,34.169000000000004,1.02
11.17,33.524,4.52
13.74,33.232,6.11
6.69,34.319,0.4
9.22,33.91,2.98
9.97,33.823,3.2
5.8,34.353,0.22
8.44,34.021,
13.73,32.961,6.04
7.06,34.09,1.6
3.74,34.52,0.68
8.66,33.94,2.42
12.75,34.57,
7.55,34.559,0.35
16.99,34.04,4.05
8.82,34.208,1.31
12.5,33.49,
13.0,33.347,5.32
19.52,33.68,
12.74,33.785,6.61
6.68,34.281,0.5
8.33,34.41,0.57
9.702,33.8206,3.084
10.7,33.574,4.15
13.56,33.152,5.93
19.08,33.723,5.94
12.87,33.6,
6.54,34.251999999999995,0.64
9.98,33.693000000000005,3.6
5.4,34.189,0.64
18.46,33.772,5.3
10.619000000000002,33.4626,4.22
12.2,33.44,6.03
8.31,33.993,2.85
5.88,34.38,
5.69,34.26,
11.36,33.454,4.78
10.29,33.732,3.27
9.73,33.785,3.83
8.52,34.024,2.31
10.88,34.45,
6.01,34.062,1.39
12.72,33.382,
5.5,34.241,0.42
12.56,33.222,5.79
12.644,33.5849,4.823
5.97,34.232,0.56
15.283,33.5496,5.799
3.91,34.538000000000004,0.64
13.67,34.98,
9.31,33.714,3.4
21.24,35.187,5.34
11.94,,5.21
19.03,33.79,
9.85,33.477,4.42
12.04,34.811,0.26
9.26,33.881,4.2
7.075,34.1701,0.943
8.16,34.163000000000004,1.42
6.03,34.154,0.78
10.44,34.382,1.25
14.36,33.4,5.83
14.08,33.263000000000005,5.49
7.25,34.02,
14.68,33.13,5.83
6.25,34.16,1.13
15.852,33.3375,5.943
5.01,34.401,
12.86,33.239000000000004,5.49
14.96,33.6,5.69
8.79,34.2579,0.99
8.18,33.913000000000004,3.57
6.66,34.236,0.75
5.07,34.397,0.4
7.29,34.2,0.96
9.098,33.9302,2.769
8.74,33.74,3.52
6.19,34.14,
7.01,34.078,1.79
15.59,33.41,
12.63,33.352,5.75
14.63,33.453,
10.8,33.762,3.88
4.27,34.403,0.25
6.87,34.38,
12.09,33.348,
13.64,33.314,6.44
7.99,34.177,1.37
15.08,,5.79
16.99,32.97,
13.77,33.51,
10.79,33.523,4.08
9.74,33.301,4.22
14.5,33.3,5.94
15.1,33.36,5.9
9.68,33.629,3.78
3.32,34.58,0.84
7.1,34.23,1.1
10.16,33.55,4.24
12.78,33.48,5.47
14.06,33.57,
7.41,34.067,2.05
16.38,33.43,5.66
11.22,33.501999999999995,4.95
8.4,33.892,2.51
11.76,33.725,4.45
16.56,33.511,5.65
12.9,32.866,5.9
3.86,34.425,0.29
13.16,33.37,
15.14,33.42,5.4
11.98,,
9.17,34.01,
11.73,33.477,4.64
1.96,34.626,2.0
9.39,33.64,3.06
15.14,33.116,6.1
6.55,34.277,0.5
9.32,33.982,2.61
14.78,32.906,5.91
6.14,34.126999999999995,0.98
13.86,33.044000000000004,5.85
8.83,34.321,1.32
6.872999999999999,34.2749,0.489
7.82,34.14,
11.44,33.644,4.16
4.91,34.342,0.32
10.11,34.566,0.35
13.265999999999998,33.4154,4.968999999999999
9.69,33.844,4.36
7.8,34.11,2.02
10.93,33.618,3.99
9.92,34.233000000000004,2.05
20.87,35.163000000000004,2.93
4.86,34.353,0.56
16.17,33.671,5.72
10.28,34.528,0.4
9.85,33.854,2.98
15.98,33.451,5.7
18.15,33.45,
10.72,33.823,2.77
6.15,34.324,0.28
6.9,34.15,
7.66,34.069,2.31
5.6,34.34,
19.41,34.742,3.66
11.06,33.158,
16.04,33.272,5.87
14.43,33.477,5.69
14.37,33.584,
13.22,33.496,4.77
7.89,34.011,2.74
6.38,34.189,0.96
8.09,34.0,3.53
16.76,33.519,5.69
8.04,34.36,0.66
14.66,33.114000000000004,5.95
15.73,33.95,5.89
7.54,,0.79
6.92,,0.26
9.21,34.026,1.76
6.06,34.42,0.3
5.53,34.212,0.56
15.541,33.3409,5.792000000000001
6.1,34.162,0.77
5.85,34.323,0.37
19.24,34.19,5.28
15.49,33.733000000000004,5.39
15.53,32.661,5.94
12.65,32.605,
12.01,34.08,2.44
3.56,34.583,0.49
10.84,33.403,4.84
11.87,33.472,4.78
12.74,33.563,
16.08,33.474000000000004,6.01
6.45,34.279,0.45
11.82,33.11,5.08
18.07,33.177,5.47
4.68,34.43,0.46
14.062,33.3525,6.034
15.06,33.474000000000004,5.74
7.34,34.076,1.93
6.88,34.295,0.45
3.9,34.47,0.62
7.36,34.16,1.25
23.12,33.64,4.88
3.54,34.511,1.0
3.64,34.568000000000005,
4.53,34.459,0.47
8.86,34.29,0.88
5.85,34.38,
14.09,34.19,2.47
6.71,34.213,0.82
9.86,33.063,5.19
7.0,34.297,0.53
5.87,33.95,1.15
14.29,33.583,
10.46,33.102,
7.5,34.054,2.08
9.16,,3.53
9.31,34.476,0.55
6.54,34.151,1.03
2.95,34.61,
16.21,32.926,
9.07,33.931,2.86
8.05,34.243,1.13
16.97,33.092,5.76
12.2,33.29,5.72
3.99,34.6,0.84
14.49,33.37,5.91
11.02,33.42,
6.87,34.221,0.58
7.92,34.0,2.87
14.83,32.994,5.92
8.24,34.23,1.29
9.0,33.837,3.17
13.31,33.058,5.99
11.12,33.827,3.35
10.97,33.59,4.1
12.74,33.764,5.06
8.93,34.584,0.16
7.19,34.059,2.23
6.41,34.24,0.69
6.28,34.24,
17.32,33.665,5.35
9.15,34.021,2.3
4.0,34.418,0.45
6.122000000000001,34.2684,0.3389999999999999
21.92,34.07,4.85
19.12,33.43,
5.48,34.334,0.42
12.95,33.58,4.79
16.81,33.971,5.55
11.08,33.399,4.25
14.82,33.54,5.51
5.64,34.341,0.44
17.75,33.5,5.98
7.87,34.053000000000004,2.33
12.37,33.27,
10.58,34.69,0.41
8.59,34.155,1.79
12.16,33.2,
15.15,33.483000000000004,5.65
7.11,34.447,0.34
5.73,,
10.74,33.587,4.35
14.16,33.62,4.58
6.93,34.227,0.73
16.25,33.566,
7.36,33.98,
8.89,33.97,
12.11,33.556,4.25
16.62,33.717,5.56
13.25,33.197,5.52
13.93,33.607,4.92
6.53,34.08,1.36
5.05,,0.2
3.72,34.46,
12.48,33.448,
14.22,33.34,5.99
6.21,34.122,1.07
16.5,33.75,5.68
10.8,33.46,
12.58,33.462,6.09
20.62,34.16,5.3
15.78,33.36,5.82
13.71,33.51,
7.23,34.29,0.58
20.25,34.37,
10.7,33.494,5.73
9.65,33.873000000000005,2.72
8.92,34.15,2.52
9.63,33.872,3.06
15.74,33.65,5.59
15.12,33.7,
8.06,33.77,
15.8,33.508,5.76
13.62,33.402,6.09
8.11,34.204,
4.84,34.43,
7.84,34.04,2.53
10.19,33.71,3.62
9.23,34.126,2.02
6.95,33.94,2.36
17.71,33.455,6.1
8.82,33.86,
7.39,34.049,2.22
7.87,34.213,
8.23,34.02,2.33
6.15,34.178000000000004,0.7
10.74,33.62,3.85
9.48,33.773,
10.41,33.317,4.08
8.9,33.757,3.15
18.78,34.286,5.45
11.6,34.721,0.15
8.99,33.28,
16.22,35.01,2.47
7.09,34.05,2.38
10.41,33.67,3.76
9.41,33.91,3.2
7.91,34.24,
18.4,,5.32
14.355,33.5803,5.521
9.73,34.51,0.49
16.76,33.494,5.58
7.71,34.096,
7.84,34.086,2.06
15.56,33.702,6.0
9.6,34.0,2.81
8.76,33.978,2.71
28.07,34.58,
18.15,33.96,
15.4,33.53,5.65
8.18,34.001,2.95
11.61,33.505,5.26
15.29,33.49,6.17
4.87,34.232,0.6
9.32,33.638000000000005,
21.41,33.81,
6.27,34.297,
26.63,34.661,4.55
17.38,33.538000000000004,5.77
8.33,34.279,1.24
18.55,33.3,5.76
9.88,33.602,3.84
7.23,34.247,0.76
14.25,33.37,
7.36,34.45,0.19
7.51,34.047,2.51
6.56,34.228,0.73
11.61,,5.82
6.56,34.352,0.28
10.68,33.399,4.64
6.69,34.022,2.05
16.02,33.73,5.66
7.69,34.13,1.56
9.26,34.076,2.05
10.53,33.78,
5.5,34.142,0.72
16.12,,4.39
15.37,33.421,6.02
8.1,34.062,2.07
8.03,33.948,3.85
11.44,33.567,4.21
13.94,33.21,5.96
14.94,33.382,5.89
15.29,32.962,5.91
5.5,34.34,0.34
12.94,33.524,
21.87,34.052,5.06
8.82,,0.82
14.98,33.702,5.62
14.16,33.306,5.89
14.24,33.115,6.02
7.15,34.21,
17.11,33.62,
5.38,34.425,0.33
15.26,33.223,5.65
8.98,33.906,3.76
11.59,33.64,4.73
16.2,33.143,5.83
5.42,34.133,0.72
10.24,33.773,3.29
17.88,34.02,5.34
6.07,34.331,0.23
15.48,33.703,6.02
9.24,34.047,2.48
13.28,33.201,6.17
8.63,33.744,2.9
8.16,34.07,3.05
6.263999999999999,34.3045,0.311
11.12,34.421,0.91
13.4,33.352,6.34
10.22,33.78,
9.03,34.018,2.57
15.55,33.64,5.59
8.46,34.283,
19.21,33.328,5.41
22.55,33.88,4.52
14.44,33.37,5.59
9.15,33.77,3.78
10.25,,0.16
10.91,33.67,3.19
12.39,33.92,2.68
9.582,33.853,2.537
9.7,33.867,
9.93,33.171,5.29
17.55,33.2,
6.98,34.33,0.37
5.94,34.107,1.0
15.46,33.896,4.2
9.38,32.927,5.69
9.55,33.907,3.36
8.565,34.0855,1.945
15.2,33.68,5.33
9.57,33.571,4.45
10.0,34.58,
18.08,33.5,
15.698,33.4854,
8.82,33.959,2.61
11.03,33.39,
6.87,34.415,0.2
6.68,34.301,
13.15,33.39,5.42
5.69,,0.38
9.72,33.789,3.38
13.672,33.4618,5.817
10.31,33.413000000000004,4.71
6.35,34.043,1.35
15.97,33.248000000000005,5.65
5.65,34.331,0.33
13.58,34.96,1.05
8.85,33.896,3.91
16.55,33.367,5.63
10.156,33.3271,4.609
13.78,33.276,6.1
8.21,34.018,2.69
6.31,34.208,0.69
12.42,,
14.67,33.711,4.61
10.99,33.75,
7.9,34.15,1.76
11.16,33.641,
15.55,33.398,6.02
17.09,33.69,5.71
6.97,34.184,0.67
7.59,34.448,0.44
5.7,34.238,0.65
1.76,34.63,2.21
12.93,33.606,5.77
11.66,33.09,
13.84,33.46,
9.55,33.805,2.97
8.09,33.819,5.61
11.83,33.251,6.17
16.68,33.6,5.43
11.06,33.088,5.38
6.93,34.268,0.64
8.988,33.7316,3.438
7.67,34.028,2.63
8.162,34.0683,1.92
6.37,34.209,0.61
18.58,33.31,5.17
4.9,34.177,0.69
6.2,34.309,0.32
12.2,33.079,6.37
9.3,33.833,
10.99,34.459,1.01
7.57,34.07,1.78
16.97,33.242,5.71
13.11,34.23,
5.78,34.36,0.28
10.42,33.629,4.07
10.19,33.49,4.38
6.98,34.295,0.47
17.91,33.096,5.58
9.65,33.772,4.01
4.96,34.37,0.57
