T_degC,Salnty,O2ml_L
8.52,34.046,2.3
6.551,34.1615,0.7759999999999999
18.98,33.579,5.03
10.11,34.53,0.37
13.103,33.4174,5.747999999999999
15.05,32.835,
6.37,34.366,0.37
15.7,33.619,5.71
12.21,33.62,
8.735,34.2242,1.269
7.26,34.207,1.13
11.98,33.185,4.94
17.647000000000002,33.1708,5.551
15.45,33.41,
18.01,33.66,5.33
4.05,34.54,
13.91,33.501,5.24
6.449,34.15,0.78
22.36,34.845,5.12
4.24,34.501999999999995,0.5
13.04,33.49,5.31
21.04,34.68,
13.99,33.663000000000004,4.85
14.62,33.58,5.74
9.23,32.886,
19.57,34.589,5.33
10.93,33.505,3.52
4.2,34.49,
11.81,33.567,3.86
6.51,34.43,0.32
14.16,33.383,6.01
16.72,32.766,5.48
15.35,33.238,6.03
3.3,34.56,
9.21,34.074,1.74
17.47,33.36,5.42
4.32,34.305,0.45
11.58,33.781,5.57
5.41,34.22,
16.27,33.427,5.59
13.9,33.72,
6.037000000000001,34.2481,0.41
5.94,34.52,
15.06,33.74,
13.98,33.486999999999995,6.13
11.03,33.86,2.76
16.26,33.19,5.82
8.29,34.06,
11.47,33.31,
4.83,34.463,0.42
5.91,34.27,0.46
11.98,34.623000000000005,0.4
15.13,33.529,5.18
5.52,34.289,0.34
3.81,34.387,0.5
13.171,33.4116,5.012
6.21,34.25,0.56
15.508,32.825,5.773
18.9,33.616,5.56
10.94,33.504,5.68
8.312999999999999,33.992,2.377
9.17,33.938,2.49
15.52,,5.46
9.87,33.748000000000005,
14.81,33.503,5.79
14.67,33.3578,5.995
16.07,33.42,
6.4,34.54,0.19
6.43,34.303000000000004,0.35
9.73,33.71,3.73
7.91,34.019,2.46
14.03,32.785,6.28
7.88,34.29,0.95
10.52,34.113,2.22
8.93,34.02,
14.85,33.32,5.91
10.1,34.498000000000005,0.62
8.76,34.47,0.31
10.81,34.189,1.92
8.74,33.972,
4.82,34.391,0.46
3.61,34.311,
8.2,33.98,1.8
11.03,33.876999999999995,3.34
14.54,33.217,5.96
18.94,33.338,
15.59,33.469,5.95
14.97,33.259,5.98
5.66,34.097,
7.04,34.219,1.06
12.947,33.5543,5.42
9.44,33.55,3.82
5.45,34.253,0.56
3.92,34.426,0.38
9.59,33.597,3.71
3.44,34.506,0.79
5.77,34.184,0.7
11.89,,4.51
12.32,33.74,
12.842,33.4005,4.767
8.004,34.0071,2.399
4.14,,0.71
7.89,34.009,2.8
12.46,33.408,5.33
14.34,33.35,6.02
6.16,34.18,1.07
13.5,33.75,7.27
16.55,33.546,5.71
8.54,33.826,3.36
13.18,33.496,
11.1,33.442,4.07
11.6,33.581,5.43
12.33,33.4,
9.385,34.1382,1.595
16.62,33.67,5.5
18.72,33.655,
7.33,,1.74
8.39,34.083,
8.49,34.171,1.23
5.82,34.217,0.6
7.1,34.11,1.58
16.25,33.473,5.83
7.48,34.23,0.92
8.29,34.015,1.65
18.05,33.361999999999995,5.52
8.5,34.14,
4.99,34.517,0.36
9.43,34.1,
5.76,34.34,0.4
7.73,34.04,2.13
8.68,34.159,1.66
9.47,33.786,
13.62,33.192,6.18
7.77,34.45,0.4
7.02,34.34,
15.08,33.2679,5.747999999999999
9.29,33.87,
5.14,34.22,0.64
13.12,33.4,5.62
18.15,33.009,5.48
18.27,33.76,5.72
11.12,,4.89
12.01,33.464,4.77
15.15,32.995,5.89
8.6,34.02,3.37
14.56,33.498000000000005,6.01
17.64,33.51,7.42
11.06,33.515,4.46
13.07,33.53,4.62
10.53,33.443000000000005,4.25
7.46,34.262,0.91
11.71,33.385,4.89
8.48,34.051,
5.56,34.175,0.62
8.6,33.713,3.49
6.46,34.545,0.07
12.57,33.395,5.5
17.1,33.48,
18.19,33.98,5.36
14.86,32.806999999999995,6.16
9.25,34.532,0.49
10.21,33.81,2.92
19.45,34.55,5.1
11.9,33.611999999999995,5.37
18.67,33.54,
11.5,33.42,
15.97,33.51,5.81
10.48,,5.06
12.37,34.444,0.96
13.21,33.53,5.7
3.88,34.47,
15.71,33.4769,
16.29,33.95,4.82
6.05,34.092,1.38
8.78,33.95,2.33
6.28,34.17,0.36
7.595,34.1975,0.895
9.6,33.509,3.9
8.16,33.989000000000004,2.8
9.17,33.094,6.93
