YEAR,MONTH,METRIC,d1,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d2,d20,d21,d22,d23,d24,d25,d26,d27,d28,d29,d3,d30,d31,d4,d5,d6,d7,d8,d9
2006,8,TMAX,59.0,76.0,74.0,74.0,71.0,74.0,73.0,71.0,71.0,71.0,74.0,70.0,75.0,77.0,78.0,77.0,73.0,67.0,60.0,66.0,71.0,74.0,67.0,73.0,66.0,72.0,73.0,75.0,74.0,74.0,73.0
2006,8,TMIN,45.0,50.0,50.0,51.0,49.0,51.0,52.0,48.0,52.0,48.0,51.0,44.0,52.0,53.0,56.0,51.0,50.0,45.0,42.0,39.0,47.0,47.0,50.0,52.0,45.0,50.0,50.0,51.0,50.0,51.0,53.0
2006,9,PRCP,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.1,0.0,0.0,0.0
2006,9,TMAX,71.0,64.0,68.0,72.0,71.0,67.0,52.0,39.0,43.0,54.0,62.0,74.0,52.0,43.0,40.0,49.0,52.0,56.0,60.0,62.0,64.0,64.0,73.0,66.0,9999.0,76.0,73.0,73.0,62.0,61.0,66.0
2006,9,TMIN,47.0,43.0,46.0,48.0,50.0,42.0,32.0,27.0,25.0,28.0,39.0,47.0,33.0,31.0,28.0,29.0,31.0,33.0,38.0,39.0,41.0,44.0,49.0,42.0,9999.0,51.0,53.0,51.0,46.0,44.0,43.0
2006,10,PRCP,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.4,0.2,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.8,0.0,0.0,0.0
2006,10,TMAX,66.0,40.0,48.0,52.0,55.0,49.0,54.0,46.0,34.0,36.0,41.0,56.0,42.0,40.0,45.0,55.0,56.0,44.0,38.0,49.0,56.0,52.0,57.0,44.0,40.0,55.0,54.0,50.0,46.0,52.0,48.0
2006,10,TMIN,47.0,31.0,31.0,33.0,35.0,36.0,36.0,30.0,26.0,22.0,30.0,39.0,28.0,25.0,25.0,34.0,39.0,23.0,23.0,24.0,35.0,37.0,37.0,28.0,25.0,45.0,44.0,35.0,34.0,33.0,33.0
2006,11,PRCP,0.1,0.2,0.1,0.2,1.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.2
2006,11,TMAX,40.0,41.0,43.0,33.0,36.0,36.0,41.0,44.0,52.0,48.0,52.0,47.0,54.0,48.0,51.0,43.0,42.0,40.0,40.0,33.0,17.0,16.0,45.0,27.0,9999.0,39.0,42.0,51.0,57.0,57.0,43.0
2006,11,TMIN,21.0,15.0,26.0,17.0,23.0,16.0,15.0,30.0,30.0,29.0,29.0,32.0,38.0,39.0,40.0,19.0,19.0,24.0,23.0,16.0,6.0,-4.0,33.0,-3.0,9999.0,29.0,28.0,33.0,40.0,42.0,24.0
2006,12,PRCP,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.6,0.8,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,12,TMAX,27.0,35.0,33.0,34.0,36.0,47.0,45.0,24.0,20.0,27.0,37.0,22.0,28.0,38.0,28.0,30.0,33.0,42.0,48.0,35.0,31.0,36.0,33.0,40.0,44.0,45.0,42.0,43.0,45.0,50.0,42.0
