bib,race,division,city,time,pace
2858,5K,Division:F  1- 9,"Orem, UTAH",40:19.2,13:00/M
2859,5K,Division:M 13-15,"Orem, UTAH",20:00.4,6:27/M
2860,5K,Division:F 30-34,"Bountiful, UTAH",36:02.1,11:37/M
2861,5K,Division:M 13-15,"Taylorsville, UTAH",58:08.7,18:45/M
2862,5K,Division:F 60-64,"Provo, UTAH",36:26.8,11:45/M
2864,5K,Division:M 25-29,"Spanish Fork, UTAH",24:51.2,8:01/M
2865,5K,Division:M 16-19,"Orem, UTAH",20:05.6,6:29/M
2866,5K,Division:M 16-19,"Lehi, UTAH",17:25.9,5:37/M
2867,5K,Division:M 55-59,"Salt Lake City, UTAH",20:27.1,6:36/M
2868,5K,Division:F 13-15,"Salt Lake City, UTAH",37:21.2,12:03/M
2869,5K,Division:F 20-24,"Scottsdale, ARIZONA",46:35.6,15:02/M
2870,5K,Division:F 10-12,"Provo, UTAH",37:12.3,12:00/M
2872,5K,Division:F 30-34,"Provo, UTAH",39:28.7,12:44/M
2873,5K,Division:M 10-12,"Provo, UTAH",36:53.3,11:54/M
2875,5K,Division:F 65-69,"Provo, UTAH",53:41.2,17:19/M
2876,5K,Division:M 55-59,"Morgan, UTAH",54:22.5,17:32/M
2877,5K,Division:F 50-54,"Orem, UTAH",42:16.3,13:38/M
2878,5K,Division:M 50-54,"Orem, UTAH",53:59.5,17:25/M
2879,5K,Division:M 35-39,"Provo, UTAH",27:52.6,9:00/M
2880,5K,Division:M  1- 9,"Provo, UTAH",34:27.0,11:07/M
2881,5K,Division:M 35-39,"Provo, UTAH",34:28.1,11:07/M
2883,5K,Division:M 45-49,"Mapleton, UTAH",50:33.9,16:19/M
2886,5K,Division:F  1- 9,"Mapleton, UTAH",50:34.1,16:19/M
2887,5K,Division:F 20-24,"Provo, UTAH",27:11.8,8:46/M
2888,5K,Division:F 70-80,"Provo, UTAH",49:05.5,15:50/M
2889,5K,Division:M 13-15,"Saratoga Springs, UTAH",20:45.8,6:42/M
2890,5K,Division:M 16-19,"Pleasant Grove, UTAH",17:55.6,5:47/M
2892,5K,Division:F 30-34,"Highland, UTAH",41:56.2,13:32/M
2893,5K,Division:M 30-34,"Highland, UTAH",32:23.9,10:27/M
2894,5K,Division:M  1- 9,"Highland, UTAH",41:54.9,13:31/M
2895,5K,Division:M 40-44,"Salt Lake City, UTAH",37:15.2,12:01/M
2896,5K,Division:M 16-19,"Salt Lake City, UTAH",26:23.3,8:31/M
