race,state,gun_min,chip_min,pace_min,gender,age
5k,UT,52.983333333333334,51.7,16.683333333333334,F,64.5
5k,UT,23.4,23.216666666666665,7.483333333333333,M,24.5
5k,UT,22.95,22.25,7.183333333333334,M,24.5
5k,UT,36.6,34.333333333333336,11.083333333333334,M,24.5
5k,UT,36.6,34.333333333333336,11.083333333333334,M,24.5
5k,UT,24.65,23.4,7.55,M,17.0
5k,UT,42.11666666666667,40.833333333333336,13.166666666666666,M,44.5
5k,UT,61.25,59.93333333333333,19.333333333333332,F,44.5
5k,UT,42.11666666666667,40.86666666666667,13.183333333333334,F,17.0
5k,UT,39.45,38.166666666666664,12.316666666666666,M,12.0
5k,UT,23.616666666666667,23.5,7.583333333333333,M,34.5
5k,UT,32.6,32.13333333333333,10.366666666666667,M,24.5
5k,UT,35.3,34.65,11.183333333333334,M,24.5
5k,UT,61.88333333333333,60.21666666666667,19.416666666666668,F,54.5
5k,UT,24.533333333333335,23.383333333333333,7.55,M,17.0
5k,UT,38.36666666666667,37.5,12.1,F,24.5
5k,UT,31.15,30.216666666666665,9.75,F,24.5
5k,UT,37.43333333333333,36.78333333333333,11.866666666666667,F,34.5
5k,UT,26.466666666666665,25.8,8.316666666666666,M,24.5
5k,UT,24.316666666666666,23.966666666666665,7.733333333333333,M,17.0
5k,UT,54.65,54.016666666666666,17.416666666666668,F,34.5
5k,UT,22.15,22.016666666666666,7.1,F,24.5
5k,UT,40.983333333333334,39.61666666666667,12.783333333333333,F,24.5
5k,UT,26.833333333333332,26.283333333333335,8.483333333333333,F,44.5
5k,UT,45.416666666666664,44.61666666666667,14.4,F,24.5
5k,UT,31.7,30.683333333333334,9.9,F,12.0
5k,UT,41.766666666666666,40.61666666666667,13.1,M,5.0
5k,UT,50.733333333333334,49.53333333333333,15.983333333333333,F,64.5
5k,UT,50.11666666666667,48.18333333333333,15.55,F,17.0
5k,UT,41.78333333333333,40.6,13.1,M,44.5
5k,UT,31.9,30.733333333333334,9.916666666666666,M,17.0
5k,UT,18.883333333333333,18.816666666666666,6.066666666666666,M,24.5
5k,UT,41.88333333333333,40.9,13.2,F,54.5
5k,UT,33.9,32.78333333333333,10.583333333333334,F,44.5
5k,TX,21.15,20.116666666666667,6.483333333333333,M,34.5
5k,UT,32.31666666666667,32.28333333333333,10.416666666666666,M,34.5
5k,UT,27.066666666666666,27.033333333333335,8.716666666666667,M,12.0
5k,UT,46.0,44.45,14.333333333333334,F,24.5
5k,WY,34.65,33.38333333333333,10.766666666666667,F,44.5
5k,UT,63.016666666666666,61.56666666666667,19.866666666666667,F,17.0
5k,WY,32.733333333333334,31.5,10.166666666666666,F,34.5
5k,UT,53.983333333333334,53.05,17.116666666666667,M,17.0
5k,UT,53.983333333333334,53.05,17.116666666666667,F,17.0
5k,UT,53.9,53.0,17.1,M,54.5
5k,UT,53.9,52.983333333333334,17.083333333333332,F,54.5
5k,UT,25.3,25.233333333333334,8.133333333333333,M,12.0
5k,UT,30.166666666666668,30.083333333333332,9.7,F,34.5
5k,UT,26.35,26.266666666666666,8.466666666666667,M,12.0
5k,UT,30.166666666666668,29.133333333333333,9.4,F,24.5
5k,UT,39.65,39.05,12.6,F,34.5
5k,UT,38.333333333333336,38.2,12.316666666666666,F,24.5
5k,UT,38.333333333333336,38.2,12.316666666666666,F,24.5
5k,UT,17.6,17.566666666666666,5.666666666666667,M,24.5
5k,CO,18.15,18.116666666666667,5.85,M,24.5
5k,UT,40.733333333333334,40.666666666666664,13.116666666666667,F,34.5
5k,UT,54.21666666666667,52.46666666666667,16.916666666666668,F,24.5
5k,UT,54.166666666666664,52.43333333333333,16.916666666666668,M,24.5
5k,UT,25.933333333333334,25.75,8.3,M,24.5
5k,UT,59.733333333333334,59.516666666666666,19.2,F,34.5
5k,UT,41.1,40.43333333333333,13.05,F,12.0
5k,UT,33.916666666666664,33.233333333333334,10.716666666666667,F,34.5
5k,UT,24.216666666666665,23.85,7.7,M,24.5
5k,UT,64.4,62.9,20.283333333333335,F,24.5
5k,UT,36.88333333333333,35.46666666666667,11.433333333333334,F,24.5
5k,UT,41.7,40.28333333333333,13.0,F,44.5
5k,UT,41.68333333333333,40.75,13.15,M,34.5
5k,UT,57.56666666666667,55.483333333333334,17.9,F,24.5
5k,UT,30.383333333333333,29.533333333333335,9.533333333333333,M,24.5
5k,UT,36.88333333333333,35.45,11.433333333333334,M,24.5
5k,UT,31.55,30.4,9.8,M,24.5
5k,UT,46.0,45.15,14.566666666666666,F,24.5
5k,UT,39.55,39.35,12.7,M,54.5
5k,UT,30.15,29.633333333333333,9.566666666666666,F,12.0
5k,UT,30.583333333333332,30.066666666666666,9.7,F,34.5
5k,UT,67.3,66.7,21.516666666666666,F,44.5
5k,UT,40.516666666666666,39.016666666666666,12.583333333333334,F,24.5
5k,UT,21.033333333333335,20.683333333333334,6.666666666666667,M,24.5
5k,UT,60.46666666666667,60.25,19.433333333333334,F,64.5
5k,UT,59.75,59.516666666666666,19.2,F,24.5
5k,UT,60.46666666666667,60.28333333333333,19.45,M,54.5
5k,UT,56.666666666666664,55.233333333333334,17.816666666666666,F,34.5
5k,UT,28.816666666666666,27.85,8.983333333333333,F,34.5
5k,UT,31.25,29.916666666666668,9.65,F,24.5
5k,UT,20.533333333333335,20.483333333333334,6.6,M,24.5
5k,UT,37.53333333333333,36.21666666666667,11.683333333333334,F,24.5
5k,UT,29.733333333333334,29.316666666666666,9.45,F,17.0
5k,UT,28.316666666666666,28.2,9.1,F,24.5
5k,UT,42.8,41.43333333333333,13.366666666666667,M,74.5
5k,UT,40.53333333333333,39.13333333333333,12.616666666666667,F,24.5
5k,UT,28.183333333333334,26.816666666666666,8.65,F,24.5
5k,UT,26.55,26.166666666666668,8.433333333333334,M,44.5
5k,UT,26.55,26.166666666666668,8.433333333333334,M,24.5
5k,UT,40.516666666666666,39.13333333333333,12.616666666666667,F,24.5
5k,ID,25.85,25.683333333333334,8.283333333333333,M,64.5
5k,UT,29.283333333333335,28.916666666666668,9.333333333333334,F,12.0
5k,ID,30.75,30.383333333333333,9.8,M,64.5
5k,UT,33.083333333333336,31.833333333333332,10.266666666666667,F,24.5
5k,UT,41.3,39.2,12.65,M,24.5
5k,UT,41.3,39.2,12.65,F,24.5
5k,ID,36.266666666666666,35.45,11.433333333333334,F,34.5
5k,UT,24.583333333333332,23.4,7.55,F,17.0
5k,UT,42.95,41.95,13.533333333333333,F,17.0
5k,UT,36.88333333333333,36.45,11.75,M,64.5
5k,UT,57.9,55.916666666666664,18.033333333333335,M,5.0
5k,UT,58.06666666666667,55.65,17.95,M,34.5
5k,UT,51.43333333333333,49.983333333333334,16.116666666666667,M,24.5
5k,UT,24.316666666666666,23.916666666666668,7.716666666666667,F,17.0
5k,MN,17.45,17.45,5.616666666666666,M,-1.0
5k,UT,32.86666666666667,32.516666666666666,10.483333333333333,F,17.0
5k,UT,40.766666666666666,39.53333333333333,12.75,F,17.0
5k,UT,36.083333333333336,34.2,11.033333333333333,F,24.5
5k,UT,54.88333333333333,54.43333333333333,17.566666666666666,F,54.5
5k,UT,69.95,69.35,22.366666666666667,F,54.5
5k,UT,35.983333333333334,35.28333333333333,11.383333333333333,F,54.5
5k,UT,37.43333333333333,36.78333333333333,11.866666666666667,M,24.5
5k,UT,31.216666666666665,30.433333333333334,9.816666666666666,F,24.5
5k,UT,30.95,30.133333333333333,9.716666666666667,F,24.5
5k,UT,36.86666666666667,36.05,11.633333333333333,F,54.5
5k,UT,31.083333333333332,30.283333333333335,9.766666666666667,M,24.5
5k,UT,36.86666666666667,36.05,11.633333333333333,M,54.5
5k,UT,54.06666666666667,53.483333333333334,17.25,F,24.5
5k,UT,38.15,37.166666666666664,11.983333333333333,F,24.5
5k,UT,69.26666666666667,67.78333333333333,21.866666666666667,M,74.5
5k,UT,53.78333333333333,52.38333333333333,16.9,M,64.5
5k,UT,32.65,32.38333333333333,10.45,M,34.5
5k,UT,42.68333333333333,42.45,13.7,F,34.5
5k,UT,37.11666666666667,36.483333333333334,11.766666666666667,F,44.5
5k,UT,25.866666666666667,25.5,8.233333333333333,F,24.5
5k,UT,28.466666666666665,28.3,9.133333333333333,F,24.5
5k,UT,23.933333333333334,23.783333333333335,7.666666666666667,F,34.5
5k,UT,31.9,31.183333333333334,10.066666666666666,M,54.5
5k,UT,44.516666666666666,43.88333333333333,14.15,F,24.5
5k,UT,30.3,29.383333333333333,9.483333333333333,M,34.5
5k,UT,66.6,66.6,21.483333333333334,M,34.5
5k,UT,45.25,44.05,14.216666666666667,M,64.5
5k,UT,29.016666666666666,29.016666666666666,9.366666666666667,M,24.5
5k,UT,45.75,44.68333333333333,14.416666666666666,M,24.5
5k,UT,45.75,44.7,14.416666666666666,F,24.5
5k,UT,24.016666666666666,23.816666666666666,7.683333333333334,M,44.5
5k,UT,36.916666666666664,36.016666666666666,11.616666666666667,F,17.0
5k,UT,53.9,52.983333333333334,17.083333333333332,M,24.5
5k,UT,48.36666666666667,46.8,15.1,F,24.5
5k,UT,31.833333333333332,30.433333333333334,9.816666666666666,M,54.5
5k,UT,64.4,62.916666666666664,20.3,F,17.0
5k,UT,30.133333333333333,28.75,9.266666666666667,F,44.5
10k,UT,44.766666666666666,44.733333333333334,7.216666666666667,F,24.5
5k,UT,35.18333333333333,34.53333333333333,11.133333333333333,F,24.5
5k,UT,45.416666666666664,44.63333333333333,14.4,F,24.5
5k,UT,25.266666666666666,25.083333333333332,8.083333333333334,M,24.5
5k,UT,26.966666666666665,26.783333333333335,8.633333333333333,M,24.5
5k,UT,29.133333333333333,29.0,9.35,F,24.5
5k,UT,28.716666666666665,28.583333333333332,9.216666666666667,M,24.5
5k,UT,44.166666666666664,42.85,13.816666666666666,F,54.5
5k,UT,40.63333333333333,40.5,13.066666666666666,F,12.0
5k,UT,44.15,42.86666666666667,13.833333333333334,M,64.5
5k,UT,40.766666666666666,40.63333333333333,13.1,F,5.0
5k,UT,53.766666666666666,52.833333333333336,17.05,F,34.5
5k,UT,33.2,31.933333333333334,10.3,F,44.5
5k,UT,52.9,51.983333333333334,16.766666666666666,F,24.5
5k,UT,52.916666666666664,52.0,16.766666666666666,M,24.5
5k,UT,40.71666666666667,39.1,12.616666666666667,F,34.5
5k,UT,43.85,43.71666666666667,14.1,F,12.0
5k,UT,43.85,43.7,14.1,F,24.5
5k,UT,31.083333333333332,28.8,9.283333333333333,M,64.5
5k,OR,20.7,20.3,6.55,M,24.5
5k,UT,43.93333333333333,42.0,13.55,F,44.5
5k,UT,43.93333333333333,42.0,13.55,M,44.5
5k,UT,69.95,69.33333333333333,22.366666666666667,F,44.5
5k,UT,31.016666666666666,30.666666666666668,9.9,F,24.5
5k,WI,32.0,30.8,9.933333333333334,F,17.0
5k,WA,45.93333333333333,45.166666666666664,14.566666666666666,F,17.0
5k,UT,43.31666666666667,42.266666666666666,13.633333333333333,F,24.5
5k,UT,36.483333333333334,36.25,11.7,F,24.5
5k,UT,67.28333333333333,66.68333333333334,21.516666666666666,F,54.5
5k,UT,26.133333333333333,25.833333333333332,8.333333333333334,F,24.5
5k,UT,40.516666666666666,39.016666666666666,12.583333333333334,M,24.5
5k,UT,43.13333333333333,41.65,13.433333333333334,F,24.5
5k,UT,42.7,41.18333333333333,13.283333333333333,M,34.5
5k,UT,26.966666666666665,26.633333333333333,8.583333333333334,M,24.5
5k,UT,21.95,21.9,7.066666666666666,M,24.5
5k,UT,57.1,55.78333333333333,18.0,M,64.5
5k,UT,27.65,26.466666666666665,8.533333333333333,M,12.0
5k,UT,31.25,29.95,9.666666666666666,M,44.5
5k,UT,35.18333333333333,34.03333333333333,10.983333333333333,F,54.5
5k,WY,33.13333333333333,31.9,10.283333333333333,F,44.5
5k,UT,54.65,54.0,17.416666666666668,F,34.5
5k,WY,31.716666666666665,30.466666666666665,9.833333333333334,M,44.5
5k,UT,34.516666666666666,34.38333333333333,11.083333333333334,F,24.5
5k,UT,61.25,59.93333333333333,19.333333333333332,F,74.5
5k,UT,30.216666666666665,29.766666666666666,9.6,F,24.5
5k,UT,43.733333333333334,42.8,13.8,F,24.5
5k,UT,43.733333333333334,42.81666666666667,13.816666666666666,M,24.5
5k,UT,31.933333333333334,31.933333333333334,10.3,M,5.0
5k,UT,32.0,32.0,10.316666666666666,M,12.0
5k,UT,32.0,32.0,10.316666666666666,F,44.5
5k,UT,30.05,30.05,9.7,M,5.0
5k,UT,51.25,49.81666666666667,16.066666666666666,F,24.5
5k,UT,31.783333333333335,30.1,9.716666666666667,M,54.5
5k,UT,28.766666666666666,28.016666666666666,9.033333333333333,F,24.5
5k,UT,26.183333333333334,26.116666666666667,8.416666666666666,M,54.5
5k,UT,60.733333333333334,59.78333333333333,19.283333333333335,M,44.5
5k,UT,60.733333333333334,59.766666666666666,19.283333333333335,F,44.5
5k,UT,30.166666666666668,29.933333333333334,9.65,F,5.0
5k,UT,26.583333333333332,25.816666666666666,8.333333333333334,F,24.5
5k,UT,25.983333333333334,25.866666666666667,8.35,M,12.0
5k,UT,64.33333333333333,62.55,20.183333333333334,F,54.5
5k,UT,30.066666666666666,29.85,9.633333333333333,F,44.5
5k,UT,49.61666666666667,48.88333333333333,15.766666666666667,F,5.0
5k,UT,25.833333333333332,25.7,8.283333333333333,F,12.0
5k,UT,26.283333333333335,25.583333333333332,8.25,M,24.5
5k,UT,19.183333333333334,19.15,6.183333333333334,M,24.5
5k,UT,26.916666666666668,25.766666666666666,8.316666666666666,M,24.5
5k,UT,51.46666666666667,50.21666666666667,16.2,F,5.0
5k,UT,51.46666666666667,50.21666666666667,16.2,F,5.0
5k,UT,51.46666666666667,50.233333333333334,16.2,F,34.5
5k,UT,25.45,24.033333333333335,7.75,M,34.5
5k,UT,35.4,34.016666666666666,10.966666666666667,F,24.5
5k,UT,37.583333333333336,37.36666666666667,12.05,F,24.5
5k,UT,37.583333333333336,37.38333333333333,12.066666666666666,M,24.5
5k,UT,28.133333333333333,27.533333333333335,8.883333333333333,F,24.5
5k,UT,58.81666666666667,58.55,18.883333333333333,F,54.5
5k,UT,30.5,29.433333333333334,9.5,F,24.5
5k,UT,29.666666666666668,29.2,9.416666666666666,F,34.5
5k,UT,26.216666666666665,25.8,8.316666666666666,M,12.0
5k,UT,25.3,24.066666666666666,7.766666666666667,M,44.5
5k,UT,22.05,22.0,7.1,M,17.0
5k,UT,26.583333333333332,26.233333333333334,8.466666666666667,F,24.5
5k,UT,43.56666666666667,42.5,13.716666666666667,M,54.5
5k,UT,30.016666666666666,28.95,9.333333333333334,F,24.5
5k,UT,29.8,28.2,9.1,M,24.5
5k,UT,29.666666666666668,28.033333333333335,9.05,M,17.0
5k,UT,26.266666666666666,26.083333333333332,8.416666666666666,M,24.5
5k,UT,30.733333333333334,29.433333333333334,9.5,M,24.5
5k,UT,27.983333333333334,27.766666666666666,8.95,F,24.5
5k,UT,24.5,24.283333333333335,7.833333333333333,M,24.5
5k,UT,32.833333333333336,32.266666666666666,10.416666666666666,M,34.5
5k,UT,32.85,32.28333333333333,10.416666666666666,F,34.5
5k,UT,38.81666666666667,37.96666666666667,12.25,F,24.5
5k,TX,45.416666666666664,44.63333333333333,14.4,F,34.5
5k,UT,25.866666666666667,25.433333333333334,8.2,F,24.5
5k,UT,33.71666666666667,32.55,10.5,F,24.5
5k,UT,30.133333333333333,28.8,9.283333333333333,F,24.5
5k,UT,29.866666666666667,28.55,9.216666666666667,M,24.5
5k,UT,29.333333333333332,28.616666666666667,9.233333333333333,M,34.5
5k,UT,33.25,32.43333333333333,10.466666666666667,F,24.5
5k,UT,28.916666666666668,28.083333333333332,9.066666666666666,F,24.5
5k,UT,54.46666666666667,53.75,17.333333333333332,F,44.5
5k,UT,54.45,53.733333333333334,17.333333333333332,F,24.5
5k,UT,25.616666666666667,25.233333333333334,8.133333333333333,M,24.5
5k,UT,64.33333333333333,62.56666666666667,20.183333333333334,F,34.5
5k,UT,64.33333333333333,62.56666666666667,20.183333333333334,M,34.5
5k,UT,30.266666666666666,29.783333333333335,9.6,F,24.5
5k,UT,28.05,27.45,8.85,F,24.5
5k,UT,50.35,49.85,16.083333333333332,M,24.5
5k,UT,27.15,27.05,8.733333333333333,F,54.5
5k,UT,50.333333333333336,49.85,16.083333333333332,M,24.5
5k,UT,45.6,44.61666666666667,14.4,F,64.5
5k,UT,52.06666666666667,51.266666666666666,16.533333333333335,F,17.0
5k,UT,52.083333333333336,51.266666666666666,16.533333333333335,F,54.5
5k,UT,48.61666666666667,46.983333333333334,15.15,M,24.5
5k,UT,48.583333333333336,46.96666666666667,15.15,F,24.5
5k,UT,19.283333333333335,19.2,6.2,M,24.5
5k,UT,69.26666666666667,67.78333333333333,21.866666666666667,F,64.5
5k,UT,34.266666666666666,32.766666666666666,10.566666666666666,F,24.5
5k,UT,54.95,53.45,17.25,M,24.5
5k,ID,38.4,37.56666666666667,12.116666666666667,M,34.5
5k,UT,56.28333333333333,55.766666666666666,17.983333333333334,F,24.5
5k,UT,41.71666666666667,40.266666666666666,12.983333333333333,M,34.5
5k,UT,35.333333333333336,34.88333333333333,11.25,F,0.0
5k,UT,42.55,41.38333333333333,13.35,F,44.5
5k,UT,26.266666666666666,26.083333333333332,8.416666666666666,F,24.5
5k,NY,31.283333333333335,30.166666666666668,9.733333333333333,F,34.5
5k,UT,31.2,30.883333333333333,9.966666666666667,F,24.5
5k,UT,35.766666666666666,34.68333333333333,11.183333333333334,M,34.5
5k,UT,44.416666666666664,40.95,13.216666666666667,M,34.5
5k,UT,38.666666666666664,36.1,11.65,F,34.5
5k,UT,37.55,36.95,11.916666666666666,F,24.5
5k,UT,31.0,30.183333333333334,9.733333333333333,F,34.5
5k,UT,32.15,32.03333333333333,10.333333333333334,M,54.5
5k,UT,35.0,34.71666666666667,11.2,F,54.5
5k,UT,38.38333333333333,37.75,12.183333333333334,M,24.5
5k,UT,35.416666666666664,33.96666666666667,10.95,M,24.5
5k,UT,42.6,41.45,13.366666666666667,F,24.5
5k,UT,62.733333333333334,61.7,19.9,F,64.5
5k,UT,35.2,33.56666666666667,10.833333333333334,F,24.5
5k,UT,40.65,39.233333333333334,12.65,F,34.5
5k,UT,40.65,39.2,12.65,F,12.0
5k,UT,36.81666666666667,35.1,11.316666666666666,M,24.5
5k,UT,53.6,52.61666666666667,16.966666666666665,F,64.5
5k,UT,29.95,29.55,9.533333333333333,F,34.5
5k,UT,40.1,38.53333333333333,12.433333333333334,F,34.5
5k,UT,21.9,21.9,7.0,F,-1.0
5k,UT,41.13333333333333,38.833333333333336,12.533333333333333,M,24.5
5k,UT,41.13333333333333,38.833333333333336,12.533333333333333,F,24.5
5k,UT,57.266666666666666,55.166666666666664,17.8,F,44.5
5k,UT,40.766666666666666,39.55,12.75,F,17.0
5k,UT,53.083333333333336,51.266666666666666,16.533333333333335,F,24.5
5k,UT,46.016666666666666,45.03333333333333,14.533333333333333,F,24.5
5k,UT,46.016666666666666,45.05,14.533333333333333,F,34.5
5k,UT,34.53333333333333,33.833333333333336,10.916666666666666,M,17.0
5k,UT,35.333333333333336,34.65,11.183333333333334,F,24.5
5k,OR,45.8,44.1,14.233333333333333,M,54.5
5k,UT,53.766666666666666,52.81666666666667,17.033333333333335,F,64.5
5k,UT,54.65,54.03333333333333,17.433333333333334,F,34.5
5k,UT,27.583333333333332,26.6,8.583333333333334,M,24.5
5k,UT,27.883333333333333,26.883333333333333,8.666666666666666,M,24.5
5k,UT,22.616666666666667,22.25,7.183333333333334,M,44.5
5k,UT,29.533333333333335,29.183333333333334,9.416666666666666,M,12.0
5k,UT,24.7,24.366666666666667,7.866666666666666,F,17.0
5k,UT,29.6,29.233333333333334,9.433333333333334,F,34.5
5k,UT,23.633333333333333,23.266666666666666,7.5,M,34.5
5k,UT,32.81666666666667,31.55,10.183333333333334,F,24.5
5k,UT,43.61666666666667,41.7,13.45,M,54.5
5k,UT,36.96666666666667,36.11666666666667,11.65,F,17.0
5k,UT,24.233333333333334,23.85,7.7,M,24.5
5k,NV,41.38333333333333,41.233333333333334,13.3,M,24.5
5k,NV,46.13333333333333,45.55,14.7,M,54.5
5k,NV,46.13333333333333,45.56666666666667,14.7,F,54.5
5k,NV,22.033333333333335,21.85,7.05,M,24.5
