"playerID","total_hits","total_hr","total_rbi","total_sb","firstName","lastName"
"belanma01",1316,20,389,167,"Mark","Belanger"
"bellbe01",806,46,437,11,"Beau","Bell"
"bellbu01",2514,201,1106,55,"Buddy","Bell"
"bellda01",1239,123,589,19,"David","Bell"
"bellde01",1262,134,668,170,"Derek","Bell"
"belleal01",1726,381,1239,88,"Albert","Belle"
"bellge02",1702,265,1002,67,"George","Bell"
"bellgu01",1823,206,942,30,"Gus","Bell"
"bellira01",508,2,142,43,"Rafael","Belliard"
"belliro01",1377,114,601,43,"Ronnie","Belliard"
"bellja01",1963,195,860,91,"Jay","Bell"
"bellle01",938,66,509,25,"Les","Bell"
"beltbr01",957,129,472,43,"Brandon","Belt"
"beltrad01",3166,477,1707,121,"Adrian","Beltre"
"beltrca01",2725,435,1587,312,"Carlos","Beltran"
"bemisha01",569,5,234,49,"Harry","Bemis"
"benarma01",714,54,260,105,"Marvin","Benard"
"benchjo01",2048,389,1376,68,"Johnny","Bench"
"benedbr01",696,18,260,12,"Bruce","Benedict"
"beniqju01",1274,79,476,104,"Juan","Beniquez"
"benzito01",733,66,376,21,"Todd","Benzinger"
"berarjo01",755,36,387,27,"Johnny","Berardino"
"bergebi01",516,2,193,23,"Bill","Bergen"
"bergewa01",1550,242,898,36,"Wally","Berger"
"bergmda01",690,54,289,19,"Dave","Bergman"
"berkmla01",1905,366,1234,86,"Lance","Berkman"
"bernato01",970,75,391,113,"Tony","Bernazard"
"berrada01",603,49,278,32,"Dale","Berra"
"berrayo01",2150,358,1430,30,"Yogi","Berra"
"berroan01",665,46,254,50,"Angel","Berroa"
"berroge01",692,101,382,19,"Geronimo","Berroa"
"berrych02",539,23,256,13,"Charlie","Berry"
"berryke01",1053,58,343,45,"Ken","Berry"
"berryse01",657,81,369,47,"Sean","Berry"
"beschbo01",1171,28,345,428,"Bob","Bescher"
"betanyu01",1057,80,457,30,"Yuniesky","Betancourt"
"betemwi01",558,75,283,9,"Wilson","Betemit"
"bettsmo01",965,139,470,126,"Mookie","Betts"
"bicheda01",1906,274,1141,152,"Dante","Bichette"
"bierblo01",1524,34,839,206,"Lou","Bierbauer"
"bigbeca01",1205,17,324,182,"Carson","Bigbee"
"biggicr01",3060,291,1175,414,"Craig","Biggio"
"biittla01",861,29,354,10,"Larry","Biittner"
"birmijo01",667,7,265,108,"Joe","Birmingham"
"bishoma01",1216,41,379,43,"Max","Bishop"
"bissode01",699,66,391,17,"Del","Bissonette"
"blackch02",1244,172,511,129,"Charlie","Blackmon"
"bladera01",726,50,340,33,"Ray","Blades"
"blairpa01",1513,134,620,171,"Paul","Blair"
"blakeca01",1186,167,616,36,"Casey","Blake"
"blaloha01",959,153,542,14,"Hank","Blalock"
"blancgr01",746,26,235,122,"Gregor","Blanco"
"blanche01",615,72,298,6,"Henry","Blanco"
"blasido01",1366,21,308,105,"Don","Blasingame"
"blausje01",1187,122,513,65,"Jeff","Blauser"
"blefacu01",699,112,382,24,"Curt","Blefary"
"bloodji01",874,62,451,19,"Jimmy","Bloodworth"
"bloomwi01",778,18,225,133,"Willie","Bloomquist"
"blowemi01",591,78,365,7,"Mike","Blowers"
"bluegos01",1751,43,848,140,"Ossie","Bluege"
"bluelu01",1696,44,695,151,"Lu","Blue"
"blumge01",990,99,479,19,"Geoff","Blum"
"bochtbr01",1478,100,658,43,"Bruce","Bochte"
"bodiepi01",1011,43,516,83,"Ping","Bodie"
"boeckto01",813,27,337,90,"Tony","Boeckel"
"bogaexa01",1022,107,503,53,"Xander","Bogaerts"
"boggswa01",3010,118,1014,24,"Wade","Boggs"
"bohnesa01",605,16,228,75,"Sam","Bohne"
"bollifr01",1415,106,556,40,"Frank","Bolling"
"bondsba01",2935,762,1996,514,"Barry","Bonds"
"bondsbo01",1886,332,1024,461,"Bobby","Bonds"
"bonifem01",669,13,165,166,"Emilio","Bonifacio"
"bonilbo01",2010,287,1173,45,"Bobby","Bonilla"
"bonneba01",833,56,355,64,"Barry","Bonnell"
"bonurze01",1099,119,704,19,"Zeke","Bonura"
"booneaa01",1017,126,555,107,"Aaron","Boone"
"boonebo01",1838,105,826,38,"Bob","Boone"
"boonebr01",1775,252,1021,94,"Bret","Boone"
"boonera01",1260,151,737,21,"Ray","Boone"
"bordafr01",745,14,270,66,"Frenchy","Bordagaray"
"bordepa01",831,69,346,9,"Pat","Borders"
"bordimi01",1500,91,626,96,"Mike","Bordick"
"bostoda01",655,83,278,98,"Daryl","Boston"
"bostoly01",624,23,250,45,"Lyman","Bostock"
"bosweke01",625,31,244,27,"Ken","Boswell"
"bottoji01",2313,219,1422,58,"Jim","Bottomley"
"bouched01",583,61,290,5,"Ed","Bouchee"
"boudrlo01",1779,68,789,51,"Lou","Boudreau"
"bourjpe01",502,43,170,68,"Peter","Bourjos"
"bournmi01",1272,36,361,341,"Michael","Bourn"
"bowala01",2191,15,525,318,"Larry","Bowa"
"bowerfr01",853,13,393,81,"Frank","Bowerman"
"boydbo01",567,19,175,9,"Bob","Boyd"
"boyercl02",1396,162,654,41,"Clete","Boyer"
"boyerke01",2143,282,1141,105,"Ken","Boyer"
"boyleja01",1070,23,570,126,"Jack","Boyle"
"bradlbi01",1471,34,552,181,"Bill","Bradley"
"bradlja02",638,91,354,55,"Jackie","Bradley"
"bradlmi01",976,125,481,88,"Milton","Bradley"
"bradlph01",1058,78,376,155,"Phil","Bradley"
"braggda01",627,46,260,56,"Darren","Bragg"
"bragggl01",601,70,321,58,"Glenn","Braggs"
"brainda01",641,27,303,73,"Dave","Brain"
"brandja01",1020,112,485,45,"Jackie","Brandt"
"branski01",1351,13,637,175,"Kitty","Bransfield"
"brantmi02",1374,109,618,121,"Michael","Brantley"
"branyru01",682,194,467,16,"Russell","Branyan"
"braunry02",1933,344,1128,215,"Ryan","Braun"
"braunst01",989,52,388,45,"Steve","Braun"
"breamsi01",819,90,455,50,"Sid","Bream"
"bregmal01",545,99,320,34,"Alex","Bregman"
"brenlbo01",647,91,333,45,"Bob","Brenly"
"bresnro01",1252,26,530,212,"Roger","Bresnahan"
"bressed01",925,94,365,9,"Eddie","Bressoud"
"bressru01",1170,32,586,47,"Rube","Bressler"
"brettge01",3154,317,1596,201,"George","Brett"
"bridgro01",562,16,187,10,"Rocky","Bridges"
"bridwal01",1064,2,348,136,"Al","Bridwell"
"briggjo02",1041,139,507,64,"John","Briggs"
"brinked01",1355,60,461,30,"Ed","Brinkman"
"brockgr01",794,110,462,41,"Greg","Brock"
"brocklo01",3023,149,900,938,"Lou","Brock"
"brodist01",1728,25,900,289,"Steve","Brodie"
"brognri01",795,106,458,32,"Rico","Brogna"
"brohaja01",613,30,227,9,"Jack","Brohamer"
"brookhu01",1608,149,824,64,"Hubie","Brooks"
"brookto01",950,71,431,86,"Tom","Brookens"
"brosisc01",1001,141,531,57,"Scott","Brosius"
"brousbe01",561,87,314,15,"Ben","Broussard"
"browned02",878,16,407,29,"Eddie","Brown"
"brownem01",581,59,326,52,"Emil","Brown"
"brownga01",582,84,322,30,"Gates","Brown"
"brownge01",1176,18,303,190,"George","Browne"
"brownje01",866,23,288,73,"Jerry","Browne"
"brownji03",980,9,319,39,"Jimmy","Brown"
"brownla01",803,47,254,22,"Larry","Brown"
"brownol02",964,102,454,30,"Ollie","Brown"
"bruceja01",1432,312,934,65,"Jay","Bruce"
"brunato01",1543,271,919,69,"Tom","Brunansky"
"brutobi01",1651,94,545,207,"Bill","Bruton"
"bryankr01",751,138,403,34,"Kris","Bryant"
"bryest01",515,30,193,16,"Steve","Brye"
"buckjo01",844,134,491,6,"John","Buck"
"bucknbi01",2715,174,1208,183,"Bill","Buckner"
"buddido01",551,41,225,15,"Don","Buddin"
"buechst01",1046,137,547,17,"Steve","Buechele"
"bufordo01",1203,93,418,200,"Don","Buford"
"buhneja01",1273,310,965,6,"Jay","Buhner"
"bumbral01",1422,54,402,254,"Al","Bumbry"
"burchal01",554,4,103,96,"Al","Burch"
"burgesm01",1318,126,673,13,"Smoky","Burgess"
"burkeed01",983,30,413,293,"Eddie","Burke"
"burkeje01",2850,75,952,389,"Jesse","Burkett"
"burksel01",2107,352,1206,181,"Ellis","Burks"
"burleri01",1401,50,449,72,"Rick","Burleson"
"burnejo01",521,9,213,15,"Johnny","Burnett"
"burnije01",1447,315,981,74,"Jeromy","Burnitz"
"burnsge01",2077,41,611,383,"George","Burns"
"burnsge02",2018,72,951,154,"George","Burns"
"burnsja02",980,44,417,63,"Jack","Burns"
"burrepa01",1393,292,976,7,"Pat","Burrell"
"burroje01",1443,240,882,16,"Jeff","Burroughs"
"burrudi01",513,11,211,18,"Dick","Burrus"
"busbyji01",1113,48,438,97,"Jim","Busby"
"bushdo01",1804,9,436,404,"Donie","Bush"
"bushra01",763,96,409,33,"Randy","Bush"
"butlebi03",1479,147,728,5,"Billy","Butler"
"butlebr01",2375,54,578,558,"Brett","Butler"
"byrdma01",1534,159,710,56,"Marlon","Byrd"
"byrnebo01",1225,10,329,176,"Bobby","Byrne"
"byrneer01",827,109,396,129,"Eric","Byrnes"
"cabelen01",1647,60,596,238,"Enos","Cabell"
"cabreas01",1646,180,796,90,"Asdrubal","Cabrera"
"cabreme01",1962,144,854,101,"Melky","Cabrera"
"cabremi01",2815,477,1694,38,"Miguel","Cabrera"
"cabreor01",2055,123,854,216,"Orlando","Cabrera"
"cainlo01",1122,78,407,175,"Lorenzo","Cain"
"cairomi01",1044,41,394,139,"Miguel","Cairo"
"caldeiv01",901,104,444,97,"Ivan","Calderon"
"calhoko01",884,140,451,29,"Kole","Calhoun"
"callaal01",941,52,369,22,"Alberto","Callaspo"
"callani01",901,11,394,186,"Jimmy","Callahan"
"callijo01",1757,226,840,74,"Johnny","Callison"
"camermi01",1700,278,968,297,"Mike","Cameron"
"camildo01",1482,239,950,60,"Dolph","Camilli"
"caminke01",1710,239,983,88,"Ken","Caminiti"
"campabe01",2249,79,646,649,"Bert","Campaneris"
"camparo01",1161,242,856,25,"Roy","Campanella"
"campbbr01",1382,106,766,53,"Bruce","Campbell"
"campbvi01",642,15,167,92,"Vin","Campbell"
