ID,MP,PTS,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV
Frank Bartley-2015,9.3,2.5,0.381,0.292,0.436,0.437,0.614,1.8,1.2,0.5,0.3,0.6
Jake Toolson-2015,7.8,2.3,0.42,0.4,0.5,0.58,1.0,1.4,0.5,0.3,0.0,0.2
Dalton Nixon-2015,9.7,2.1,0.426,0.167,0.586,0.457,1.0,1.7,0.8,0.1,0.1,0.4
Ryan Andrus-2015,7.5,1.9,0.545,0.375,0.643,0.614,0.722,1.3,0.1,0.2,0.1,0.2
Luke Worthington-2015,12.3,1.8,0.457,0.0,0.457,0.457,0.667,1.7,0.2,0.3,0.1,0.4
Josh Sharp-2015,10.3,1.4,0.571,0.5,0.588,0.619,0.667,2.3,0.7,0.3,0.4,0.3
Chase Fischer-2016,34.0,18.2,0.411,0.367,0.475,0.521,0.827,2.8,2.1,1.1,0.1,1.5
Nick Emery-2016,31.4,16.3,0.425,0.383,0.471,0.526,0.854,3.5,2.5,1.4,0.1,1.5
Kyle Collinsworth-2016,33.8,15.3,0.464,0.243,0.484,0.474,0.652,8.2,7.4,2.0,0.5,3.4
Kyle Davis-2016,27.1,11.9,0.545,0.467,0.549,0.556,0.603,7.5,1.2,0.7,1.3,1.9
Zac Seljaas-2016,20.0,7.6,0.494,0.5,0.476,0.685,0.697,2.9,1.2,0.6,0.5,0.6
Corbin Kaufusi-2016,16.1,5.7,0.612,0.0,0.612,0.612,0.595,4.5,0.3,0.4,1.2,1.0
Jamal Aytes-2016,8.5,3.0,0.538,0.0,0.538,0.538,0.5,1.6,0.1,0.0,0.0,0.7
Jordan Chatman-2016,10.0,2.6,0.38,0.34,0.436,0.478,0.7,1.0,0.8,0.1,0.1,0.6
Nate Austin-2016,15.4,2.5,0.576,0.0,0.585,0.576,0.531,4.4,0.5,0.4,0.5,0.5
Jakob Hartsock-2016,6.0,1.3,0.262,0.278,0.167,0.381,0.0,1.2,0.2,0.1,0.1,0.2
Eric Mika-2017,28.6,20.3,0.528,0.0,0.53,0.528,0.763,9.2,1.6,0.6,1.9,2.5
TJ Haws-2017,30.6,13.8,0.424,0.404,0.447,0.533,0.787,2.9,3.2,1.0,0.1,2.5
Nick Emery-2017,30.1,13.1,0.415,0.371,0.47,0.518,0.829,3.0,2.4,1.6,0.3,2.0
Elijah Bryant-2017,24.7,11.7,0.426,0.278,0.552,0.49,0.796,3.6,2.2,0.9,0.3,1.6
