country,region,sub-region,iso_alpha,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia
Iraq,Asia,Western Asia,IRQ,5.027666666666667,1.2636666666666667,1.0746666666666667,0.4703333333333333,0.4263333333333333,0.125,0.051666666666666666,1.6159999999999999
Ireland,Europe,Northern Europe,IRL,6.879333333333332,2.0896666666666666,1.4913333333333334,0.6873333333333332,0.7733333333333334,0.18999999999999997,0.403,1.2453333333333332
Israel,Asia,Western Asia,ISR,7.349333333333334,1.777,1.5923333333333334,0.7136666666666667,0.65,0.14033333333333334,0.18133333333333335,2.2946666666666666
Italy,Europe,Southern Europe,ITA,6.381333333333333,1.7853333333333332,1.4063333333333334,0.7103333333333334,0.5306666666666667,0.09700000000000002,0.06933333333333333,1.782
Jamaica,Americas,Latin America and the Caribbean,JAM,5.805,1.2556666666666667,1.3993333333333335,0.494,0.701,0.081,0.028666666666666663,1.8456666666666666
Japan,Asia,Eastern Asia,JPN,6.111999999999999,1.763,1.4333333333333333,0.7760000000000001,0.6446666666666667,0.015333333333333332,0.20866666666666667,1.2706666666666666
Jordan,Asia,Western Asia,JOR,4.205333333333333,1.2373333333333332,1.055,0.535,0.6033333333333334,0.055333333333333325,0.17533333333333334,0.5426666666666667
Kazakhstan,Asia,Central Asia,KAZ,6.236666666666667,1.6239999999999999,1.5453333333333334,0.48300000000000004,0.7463333333333333,0.132,0.129,1.577
Kenya,Africa,Sub-Saharan Africa,KEN,4.489,1.0273333333333332,0.941,0.3303333333333333,0.5286666666666667,0.2643333333333333,0.06566666666666666,1.332
Kosovo,Europe,Southern Europe,XKX,6.529333333333334,1.3396666666666668,1.3333333333333333,0.6223333333333333,0.757,0.24333333333333332,0.06833333333333333,2.1649999999999996
Kuwait,Asia,Western Asia,KWT,6.789999999999999,1.768,1.4225,0.7135,0.8805000000000001,0.17149999999999999,0.16949999999999998,1.666
Kyrgyzstan,Asia,Central Asia,KGZ,5.7989999999999995,1.0490000000000002,1.5436666666666667,0.5506666666666666,0.85,0.20933333333333334,0.033666666666666664,1.562
Laos,Asia,South-eastern Asia,LAO,5.183666666666666,1.1873333333333334,0.903,0.391,0.809,0.16666666666666666,0.16433333333333333,1.5626666666666666
Latvia,Europe,Northern Europe,LVA,6.218,1.6853333333333333,1.5746666666666667,0.49066666666666664,0.6783333333333333,0.11399999999999999,0.077,1.598
Lebanon,Asia,Western Asia,LBN,2.762333333333333,1.3390000000000002,0.6789999999999999,0.46466666666666673,0.19166666666666665,0.06666666666666667,0.03233333333333333,-0.011000000000000001
Lesotho,Africa,Sub-Saharan Africa,LSO,3.4715,0.754,0.991,0.0,0.5645,0.07350000000000001,0.0785,1.01
